,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.61,0.98,0.29,0.42
jlinalg.csv,1.0,0.65,0.32,0.66
qmmp.csv,0.82,0.62,0.32,0.98
yale.csv,0.25,0.51,0.94,0.37
