,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.65,0.4,0.66,0.65,1.0
open-data-kit.csv,0.68,0.62,1.0,0.7,0.73
qtractor.csv,1.0,0.63,0.41,0.66,0.58
quarkplayer.csv,0.13,0.93,0.1,0.18,0.41
turbotrader-bos.csv,0.46,0.76,0.37,0.96,0.34
