,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.68,0.36,0.64,0.81,1.0
open-data-kit.csv,0.71,0.73,1.0,0.73,0.75
qtractor.csv,1.0,0.73,0.37,0.66,0.55
quarkplayer.csv,0.11,0.91,0.08,0.15,0.4
turbotrader-bos.csv,0.43,0.82,0.32,0.95,0.3
