,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.65,0.56,0.61,0.97,0.53,0.71,0.58,0.53,0.51,0.36,0.38,0.53,0.52,0.63,0.43
bibletime.csv,0.61,0.41,0.0,0.17,0.68,0.58,0.0,0.57,0.47,0.47,1.0,0.47,0.57,0.0,0.0
boost.csv,0.56,0.57,0.54,0.47,0.97,0.54,0.33,0.57,0.53,0.81,0.42,0.56,0.63,0.44,0.52
doomlegacy.csv,0.62,0.49,0.58,0.62,0.44,0.68,0.64,0.46,0.98,0.64,0.56,0.57,0.65,0.47,0.45
gpac.csv,0.48,0.23,0.98,0.4,0.34,0.59,0.09,0.24,0.23,0.67,0.67,0.3,0.51,0.6,0.19
kftpgrabber.csv,0.54,0.55,0.47,0.51,0.44,0.98,0.48,0.1,0.29,0.37,0.41,0.4,0.41,0.33,0.23
nativeclient.csv,0.7,0.65,0.58,0.41,0.43,0.56,0.64,0.39,0.55,0.64,0.64,0.63,0.65,0.61,0.94
netatalk.csv,0.59,0.51,0.48,0.43,0.4,0.61,1.0,0.3,0.5,0.64,0.46,0.46,0.44,0.37,0.33
open-ms.csv,0.44,0.39,0.19,0.24,0.13,0.24,0.41,0.41,0.45,0.93,0.37,0.88,0.28,0.3,0.09
openmsx.csv,0.45,0.55,0.56,0.53,0.54,0.63,0.66,0.95,0.57,0.4,0.65,0.56,0.48,0.66,0.43
rosegarden.csv,0.95,0.58,0.4,0.33,0.44,0.6,0.33,0.4,0.58,0.86,0.37,0.49,0.67,0.39,0.36
rsyslog.csv,0.67,0.97,0.5,0.58,0.49,0.56,0.65,0.23,0.54,0.37,0.58,0.63,0.62,0.57,0.61
sandiaportals.csv,0.69,0.75,0.56,0.48,0.53,0.72,0.55,0.52,0.46,0.76,0.65,0.63,0.58,0.97,0.62
xmoto.csv,0.66,0.66,0.44,0.57,0.51,0.66,0.76,0.42,0.48,0.53,0.59,0.48,0.98,0.66,0.54
xqilla.csv,0.17,0.05,0.19,0.04,0.01,0.0,0.17,0.0,0.13,1.0,0.02,0.11,0.07,0.0,0.01
