,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.4,0.56,0.62,0.97,0.42,0.45,0.35,0.43,0.81,0.02,0.77,0.24,0.51,0.78,0.63
bibletime.csv,0.32,0.55,0.54,0.35,0.45,0.35,0.27,0.42,0.71,0.03,1.0,0.22,0.46,0.74,0.59
boost.csv,0.47,0.53,0.54,0.31,0.99,0.33,0.36,0.42,0.74,0.05,0.76,0.24,0.56,0.72,0.67
doomlegacy.csv,0.35,0.63,0.56,0.39,0.45,0.46,0.41,0.38,0.99,0.04,0.92,0.27,0.64,0.7,0.65
gpac.csv,0.44,0.71,0.96,0.3,0.4,0.46,0.14,0.48,0.67,0.05,0.93,0.23,0.65,0.97,0.77
kftpgrabber.csv,0.67,0.81,0.54,0.46,0.48,1.0,0.46,0.31,0.87,0.03,1.0,0.43,0.72,1.0,0.68
nativeclient.csv,0.46,0.68,0.58,0.29,0.49,0.48,0.41,0.5,0.78,0.04,0.89,0.24,0.64,0.91,0.99
netatalk.csv,0.55,0.86,0.58,0.43,0.57,0.63,1.0,0.4,0.86,0.04,0.93,0.32,0.67,0.89,0.72
open-ms.csv,0.29,0.41,0.47,0.23,0.65,0.67,0.71,0.33,0.73,0.08,0.77,1.0,0.33,0.58,0.91
openmsx.csv,0.3,0.54,0.55,0.32,0.37,0.37,0.32,0.98,0.78,0.02,0.87,0.21,0.44,0.85,0.54
rosegarden.csv,0.97,0.74,0.67,0.42,0.63,0.55,0.4,0.41,0.82,0.05,0.88,0.29,0.77,0.73,0.62
rsyslog.csv,0.48,1.0,0.57,0.37,0.57,0.5,0.45,0.33,0.76,0.03,0.85,0.28,0.61,0.79,0.7
sandiaportals.csv,0.37,0.65,0.57,0.34,0.39,0.42,0.29,0.44,0.76,0.04,0.86,0.26,0.52,1.0,0.71
xmoto.csv,0.37,0.71,0.55,0.37,0.39,0.4,0.46,0.44,0.78,0.02,0.88,0.24,1.0,0.89,0.6
xqilla.csv,0.54,1.0,0.64,0.5,1.0,0.0,1.0,0.0,0.69,1.0,1.0,0.21,1.0,0.0,1.0
