,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.53,0.89,0.31,1.0,0.22,0.3,0.89,0.78,0.7,0.88,0.58
gabel.csv,0.67,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
javaprofiler.csv,0.38,0.76,0.3,0.38,0.1,0.2,0.66,0.67,0.38,0.23,1.0
jmoney.csv,1.0,0.92,0.31,0.73,0.13,0.0,0.93,0.81,0.5,0.6,0.7
mycila.csv,0.2,0.67,0.39,0.54,0.0,1.0,0.89,0.66,0.12,0.7,0.43
neodatis-odb.csv,0.29,0.8,1.0,0.43,0.0,0.0,0.51,0.75,0.41,0.33,0.85
servicestack.csv,0.36,0.79,0.4,0.48,0.12,0.15,0.78,0.82,1.0,0.41,0.74
sqlpower-library.csv,0.41,1.0,0.35,0.45,0.11,0.15,0.6,0.76,0.27,0.37,0.68
synecdoche.csv,0.47,0.7,0.21,0.37,0.09,0.27,0.82,0.71,0.19,1.0,0.58
tmva.csv,0.43,0.74,0.28,0.45,0.12,0.12,0.98,0.77,0.43,0.52,0.63
unicase.csv,0.37,0.76,0.3,0.46,0.09,0.17,0.73,0.99,0.36,0.38,0.55
