,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.62,0.51,0.82,0.09,0.3,0.72,0.63,0.63,0.59,0.76,0.83
gabel.csv,0.9,0.98,1.0,0.95,0.12,1.0,1.0,0.98,1.0,1.0,1.0
javaprofiler.csv,0.63,0.64,0.81,0.73,0.62,0.69,0.82,0.82,0.68,0.92,0.0
jmoney.csv,0.0,0.49,0.82,0.64,0.57,1.01,0.83,0.72,0.77,0.62,0.91
mycila.csv,0.92,0.82,0.73,0.7,1.02,0.0,0.66,0.83,0.95,0.76,0.98
neodatis-odb.csv,0.79,0.83,0.11,0.87,1.02,1.02,0.94,0.81,0.63,0.86,0.58
servicestack.csv,0.71,0.59,0.63,0.57,0.55,0.8,0.62,0.74,0.0,0.71,0.64
sqlpower-library.csv,0.71,0.02,0.72,0.61,0.58,0.81,0.89,0.65,0.72,0.77,0.72
synecdoche.csv,0.6,0.78,0.9,0.75,0.66,0.65,0.74,0.75,0.87,0.03,0.84
tmva.csv,0.62,0.72,0.83,0.69,0.56,0.88,0.05,0.62,0.67,0.58,0.79
unicase.csv,0.68,0.66,0.79,0.61,0.72,0.79,0.76,0.02,0.78,0.75,0.98
