,selenium.csv,jnode.csv,mcmc-jags.csv,freebios.csv,miranda-icq.csv,quarkplusplus.csv,metacosm.csv
freebios.csv,0.47,0.43,0.68,0.61,0.42,0.58,0.71
jnode.csv,0.0,0.93,0.0,0.0,0.0,0.0,0.0
mcmc-jags.csv,0.48,0.62,0.8,0.74,0.56,0.53,0.45
metacosm.csv,0.54,0.45,0.67,0.76,0.38,0.44,0.5
miranda-icq.csv,0.86,0.51,0.73,0.87,0.84,0.73,0.57
quarkplusplus.csv,0.56,0.64,0.75,0.88,0.73,0.68,0.48
selenium.csv,0.49,0.52,0.79,0.66,0.6,0.57,0.59
