,selenium.csv,jnode.csv,mcmc-jags.csv,freebios.csv,miranda-icq.csv,quarkplusplus.csv,metacosm.csv
freebios.csv,0.53,0.04,0.36,1.0,0.26,0.42,0.5
jnode.csv,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mcmc-jags.csv,0.61,0.04,1.0,0.5,0.31,0.47,0.62
metacosm.csv,0.63,0.05,0.61,0.52,0.32,0.5,1.0
miranda-icq.csv,0.69,0.05,0.31,0.55,0.93,0.53,0.62
quarkplusplus.csv,0.56,0.06,0.83,0.44,0.37,0.96,0.7
selenium.csv,0.98,0.05,0.29,0.44,0.31,0.43,0.55
