,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.7,0.14,0.53,0.2,0.17,0.76,0.5,0.27,0.28,0.92
gamestone.csv,1.0,0.47,0.48,0.34,0.18,0.0,0.0,0.04,0.0,0.67
gbif-providertoolkit.csv,0.51,0.05,0.26,0.23,0.38,0.66,0.33,0.23,0.1,0.78
heekscad.csv,0.81,0.28,0.66,0.45,0.24,0.84,0.48,0.22,0.31,0.86
igarden.csv,0.87,0.13,0.66,0.41,0.21,0.8,0.45,0.15,0.22,0.94
levent.csv,0.82,1.0,1.0,0.0,0.19,0.83,0.45,1.0,0.0,1.0
owlapi.csv,0.57,0.0,0.43,0.31,0.18,0.76,0.33,0.39,0.26,0.83
pnotepad.csv,0.85,0.22,0.49,0.31,0.17,0.74,0.41,0.13,0.2,1.0
quark.csv,0.83,0.33,0.7,0.33,0.33,1.0,1.0,0.32,0.48,0.93
xcsoar.csv,0.83,0.29,0.67,0.33,0.3,0.76,0.42,0.21,0.2,1.0
