,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.69,0.18,0.64,0.2,0.28,0.56,0.56,0.38,0.42,0.65
gamestone.csv,0.17,0.61,0.28,0.4,0.16,0.0,0.0,0.04,0.0,0.08
gbif-providertoolkit.csv,0.54,0.08,0.27,0.23,0.51,0.72,0.49,0.35,0.12,0.75
heekscad.csv,0.79,0.38,0.62,0.51,0.37,0.57,0.58,0.33,0.47,0.83
igarden.csv,0.64,0.17,0.45,0.51,0.3,0.54,0.33,0.2,0.37,0.52
levent.csv,0.56,0.22,0.07,0.0,0.31,0.77,0.53,0.15,0.0,0.08
owlapi.csv,0.64,0.0,0.4,0.21,0.29,0.67,0.48,0.51,0.37,0.71
pnotepad.csv,0.71,0.35,0.63,0.47,0.28,0.68,0.49,0.21,0.33,0.91
quark.csv,0.63,0.29,0.58,0.15,0.34,0.04,0.05,0.3,0.61,0.44
xcsoar.csv,0.75,0.27,0.67,0.44,0.41,0.61,0.41,0.3,0.33,0.34
