,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.09,0.74,0.14,0.31,0.02,0.32,0.29,0.34,0.23,0.25,0.28,0.17,0.44
codepurge.csv,0.82,0.39,0.05,0.34,0.09,0.54,0.81,0.07,0.49,0.33,0.0,0.27,0.28
crisscross.csv,0.11,0.0,0.17,0.34,0.13,0.35,0.33,0.3,0.28,0.22,0.27,0.3,0.33
elvishrayrenderer.csv,0.16,0.68,0.54,0.97,0.47,0.54,0.95,0.7,0.72,0.56,0.37,0.69,0.0
gwanted.csv,0.0,0.1,0.45,0.11,0.02,0.0,0.25,0.55,0.09,0.0,0.01,0.0,0.0
jitterbit.csv,0.36,0.57,0.24,0.54,0.29,0.62,0.7,0.0,0.49,0.47,0.22,0.23,0.44
ldview.csv,0.41,0.2,0.24,0.54,0.11,0.0,0.25,0.31,0.5,0.26,0.2,0.21,0.56
libopenmetaverse.csv,0.18,0.88,0.87,0.0,0.87,0.76,0.54,0.65,0.67,0.82,0.74,0.65,0.89
mb-unit.csv,0.32,0.98,0.03,0.31,0.91,0.32,1.0,0.81,0.68,0.68,0.84,0.82,0.61
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.06
nova.csv,0.0,0.58,0.33,0.26,0.4,0.41,0.32,0.34,0.23,0.35,0.61,0.34,0.56
olex2.csv,0.11,0.58,0.16,0.46,0.36,0.16,0.1,0.4,0.2,0.37,0.16,0.0,0.28
tolven.csv,0.05,0.09,0.06,0.14,0.0,0.05,0.08,0.1,0.0,0.07,0.03,0.06,0.06
