,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,1.0,13.0,15.0,42.0,2.0,3.0,10.0,2.0,0.0,24.0,13.0,0.0,1.0,76.0,2.0,0.0,2.0
arm-webradio.csv,0.0,2.0,9.0,9.0,2.0,2.0,1.0,3.0,1.0,17.0,6.0,2.0,0.0,182.0,1.0,0.0,0.0
bwapi.csv,1.0,1.0,22.0,78.0,0.0,3.0,2.0,11.0,1.0,9.0,14.0,0.0,0.0,268.0,0.0,0.0,2.0
co-ode-owl-plugins.csv,3.0,4.0,20.0,15.0,0.0,4.0,0.0,0.0,2.0,22.0,6.0,0.0,0.0,182.0,0.0,0.0,3.0
firebreath.csv,2.0,4.0,10.0,61.0,0.0,0.0,10.0,5.0,2.0,15.0,14.0,2.0,1.0,171.0,1.0,2.0,5.0
frogatto.csv,0.0,15.0,5.0,31.0,1.0,4.0,9.0,2.0,5.0,5.0,4.0,2.0,0.0,129.0,0.0,1.0,45.0
gretl.csv,0.0,23.0,9.0,111.0,0.0,3.0,4.0,8.0,2.0,13.0,9.0,0.0,1.0,260.0,1.0,1.0,2.0
jasperreports.csv,1.0,8.0,8.0,22.0,1.0,14.0,10.0,10.0,1.0,16.0,0.0,1.0,0.0,0.0,1.0,1.0,131.0
konversation.csv,1.0,4.0,0.0,8.0,1.0,155.0,10.0,8.0,12.0,11.0,74.0,2.0,1.0,39.0,2.0,0.0,0.0
linuxsh.csv,1.0,0.0,20.0,91.0,2.0,7.0,7.0,18.0,1.0,14.0,10.0,2.0,0.0,161.0,2.0,1.0,3.0
moviesandbox.csv,1.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,65.0,0.0,1.0,0.0
ontomorphtab.csv,0.0,4.0,6.0,9.0,1.0,3.0,2.0,0.0,1.0,42.0,8.0,2.0,1.0,93.0,2.0,1.0,3.0
opengs.csv,3.0,1.0,6.0,9.0,0.0,5.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,103.0,1.0,0.0,1.0
scite-ru.csv,1.0,0.0,14.0,51.0,0.0,1.0,0.0,5.0,0.0,43.0,10.0,0.0,0.0,182.0,0.0,1.0,2.0
tokratan.csv,2.0,65.0,15.0,40.0,1.0,2.0,3.0,11.0,3.0,0.0,6.0,2.0,2.0,71.0,3.0,0.0,0.0
vrjuggler.csv,1.0,4.0,9.0,23.0,0.0,0.0,7.0,8.0,4.0,24.0,1.0,0.0,0.0,109.0,0.0,1.0,3.0
xuggle.csv,1.0,4.0,26.0,0.0,1.0,3.0,14.0,7.0,2.0,22.0,74.0,2.0,1.0,178.0,1.0,0.0,3.0
