,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.74,0.83,0.63,0.61,0.67,0.74,1.0,0.5,0.7,0.78,0.94,0.61,0.11,0.52,0.83,1.04,0.61
arm-webradio.csv,0.64,0.57,0.43,0.45,0.78,0.67,0.77,0.39,0.76,0.55,0.89,0.66,0.76,0.99,0.64,0.78,0.0
bwapi.csv,0.61,0.73,0.99,0.8,0.84,1.0,0.74,0.92,0.8,0.57,1.0,0.53,0.64,0.69,0.62,0.06,0.96
co-ode-owl-plugins.csv,0.57,0.85,0.49,0.48,0.62,0.78,0.81,0.06,0.46,0.98,0.92,0.57,0.71,1.0,0.46,0.97,0.94
firebreath.csv,0.78,0.86,0.59,0.62,0.5,0.08,0.81,0.89,0.64,0.78,0.87,0.94,0.93,0.97,0.57,0.85,0.94
frogatto.csv,0.59,0.72,0.55,0.5,0.52,0.62,0.71,0.85,0.79,0.59,0.8,0.61,0.64,0.71,0.09,0.79,0.87
gretl.csv,0.8,0.83,0.78,0.9,0.84,0.74,0.64,0.82,0.84,0.79,0.8,0.03,0.8,0.69,0.53,0.68,0.92
jasperreports.csv,0.93,0.93,0.76,0.89,0.93,0.91,0.81,0.67,0.91,0.9,0.94,0.95,0.94,0.08,0.81,0.97,1.0
konversation.csv,0.88,0.72,0.08,0.83,0.82,1.0,0.86,0.68,0.94,0.6,1.01,0.78,0.72,0.66,0.68,0.92,0.69
linuxsh.csv,0.9,0.09,0.84,0.84,0.83,0.8,0.98,0.97,0.69,0.71,0.58,0.95,0.67,1.15,0.88,0.83,0.54
moviesandbox.csv,0.48,0.47,0.48,0.51,0.04,0.75,0.95,0.73,0.54,0.43,0.94,0.68,0.82,0.44,0.52,0.7,0.6
ontomorphtab.csv,0.05,0.97,0.54,0.45,0.53,0.87,0.69,0.82,0.65,0.8,0.82,0.93,0.95,0.32,0.62,0.83,0.81
opengs.csv,0.68,0.85,0.43,0.49,0.46,0.81,0.95,0.84,0.0,0.56,0.89,0.62,0.75,0.5,0.55,0.82,0.53
scite-ru.csv,0.73,0.51,0.61,0.58,0.59,0.71,0.2,0.39,0.57,0.75,0.81,0.51,0.73,1.0,0.5,0.7,0.88
tokratan.csv,0.82,1.0,0.91,0.66,0.96,0.83,0.6,1.0,0.94,0.07,0.68,0.76,0.74,0.72,0.95,0.99,0.8
vrjuggler.csv,0.97,0.93,0.59,0.85,0.79,0.92,0.85,0.6,0.86,0.83,0.13,0.88,0.82,0.92,0.58,0.95,0.77
xuggle.csv,0.9,0.93,0.57,0.17,0.79,0.85,0.93,0.82,0.59,0.8,1.0,0.86,0.88,1.05,0.97,0.62,0.94
