,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.65,0.14,0.19,0.14,0.59,0.4,0.06,0.25,0.46,0.09,0.09,0.86,0.94,0.11,0.53,0.59,0.32
arm-webradio.csv,0.67,0.24,0.41,0.2,0.6,0.47,0.42,0.69,0.41,0.16,0.15,0.85,0.58,0.05,0.57,0.78,1.0
bwapi.csv,0.7,0.17,0.12,0.11,0.54,0.38,0.33,0.11,0.34,0.17,0.21,0.89,0.66,0.07,0.58,0.98,0.25
co-ode-owl-plugins.csv,0.71,0.19,0.23,0.22,0.64,0.44,1.0,0.94,0.58,0.09,0.11,0.92,0.62,0.04,0.68,0.77,0.28
firebreath.csv,0.6,0.18,0.18,0.14,0.69,1.0,0.25,0.11,0.48,0.11,0.23,0.82,0.61,0.03,0.67,0.78,0.25
frogatto.csv,0.83,0.16,0.18,0.19,0.68,0.44,0.31,0.11,0.43,0.18,0.17,0.86,0.66,0.07,0.97,0.74,0.2
gretl.csv,0.63,0.15,0.14,0.11,0.57,0.39,0.33,0.18,0.4,0.11,0.18,0.99,0.63,0.07,0.65,0.81,0.24
jasperreports.csv,0.55,0.08,0.27,0.16,0.36,0.24,0.23,0.19,0.5,0.08,1.0,0.67,0.55,1.0,0.53,0.8,0.0
konversation.csv,0.47,0.17,1.0,0.32,0.73,0.0,0.21,0.35,0.24,0.14,0.0,0.79,0.61,0.15,0.55,1.0,0.73
linuxsh.csv,0.53,1.0,0.08,0.08,0.56,0.32,0.23,0.05,0.46,0.11,0.28,0.74,0.66,0.01,0.5,0.77,0.44
moviesandbox.csv,0.86,0.3,0.25,0.23,0.98,0.4,1.0,0.29,0.63,0.2,0.17,0.92,0.55,0.13,0.78,0.8,0.78
ontomorphtab.csv,0.97,0.16,0.18,0.22,0.67,0.38,0.31,0.12,0.47,0.1,0.16,0.83,0.63,0.14,0.64,0.76,0.25
opengs.csv,0.75,0.13,0.47,0.27,0.79,0.46,1.0,0.27,1.0,0.16,0.2,0.95,0.73,0.1,0.77,0.88,0.47
scite-ru.csv,0.67,0.25,0.15,0.16,0.66,0.39,0.85,0.33,0.54,0.13,0.17,0.9,0.6,0.05,0.66,0.78,0.29
tokratan.csv,0.64,0.0,0.06,0.16,0.5,0.44,0.4,0.03,0.22,1.0,0.24,0.82,0.59,0.07,0.4,1.0,0.88
vrjuggler.csv,0.44,0.08,0.33,0.17,0.67,0.42,0.2,0.23,0.31,0.11,0.82,1.0,0.71,0.02,0.73,0.78,0.53
xuggle.csv,0.52,0.18,0.16,0.97,0.55,0.33,0.23,0.14,0.51,0.09,0.0,0.82,0.62,0.02,0.44,0.82,0.17
