,theresa.csv,cataclysmos.csv,ildjit.csv,proftp.csv,xstore.csv,boost.csv,wxjs.csv,ffigo.csv,skia.csv,tencompetence.csv
boost.csv,0.16,0.05,0.21,0.58,0.49,0.99,0.09,0.67,0.37,0.62
ffigo.csv,0.05,0.07,0.22,0.46,0.54,0.36,0.06,1.0,0.3,0.57
ildjit.csv,0.0,0.0,0.96,0.5,0.0,0.22,0.0,0.67,0.0,0.22
proftp.csv,0.0,0.06,0.21,1.0,0.47,0.41,0.16,0.59,0.33,0.43
skia.csv,0.13,0.06,0.12,0.67,0.65,0.39,0.17,0.75,1.0,0.75
tencompetence.csv,0.0,0.0,0.12,0.0,0.36,0.41,0.06,0.33,0.31,0.98
theresa.csv,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.88,0.0,0.0
wxjs.csv,0.0,0.0,0.0,0.67,0.0,0.0,1.0,0.0,1.0,0.0
xstore.csv,0.13,0.04,0.25,0.49,1.0,0.43,0.08,0.67,0.39,0.43
