,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.62,0.4,0.91,0.7,0.67,0.27,0.16,1.0,0.77,0.84,0.63,0.67,0.17,0.81,0.38,0.6,0.65,0.9,0.14
delphilhlplib.csv,0.64,0.44,0.9,0.79,0.33,0.3,0.15,0.71,0.92,0.79,1.0,0.57,0.17,0.85,0.71,0.86,0.93,0.8,0.11
exordium.csv,0.64,0.45,0.84,0.73,0.54,0.27,0.13,0.48,0.88,0.88,1.0,0.56,0.12,0.76,0.73,0.91,0.66,1.0,0.2
fltk.csv,0.69,0.4,0.79,0.77,0.41,0.26,0.28,0.67,0.94,0.83,0.61,0.61,0.25,0.83,0.82,0.73,0.9,0.78,0.19
genoviz.csv,0.73,0.2,0.74,0.93,1.0,0.35,0.1,0.5,1.0,0.88,1.0,1.0,0.0,1.0,0.9,1.0,0.98,0.84,0.56
gzigzag.csv,0.73,0.34,0.77,0.75,0.56,0.33,0.14,1.0,0.86,0.79,0.79,0.67,0.14,0.78,0.25,0.8,0.96,0.67,0.12
irrlicht.csv,0.62,0.0,0.75,0.58,0.25,0.24,0.24,0.38,0.85,0.83,0.43,0.35,0.09,0.55,0.68,0.63,0.89,0.59,0.1
kmess.csv,0.9,0.0,0.0,0.69,0.29,0.43,0.17,0.55,0.91,0.76,1.0,0.5,0.05,0.71,0.85,0.76,0.59,0.0,0.0
moast.csv,0.5,0.25,0.56,0.52,0.28,0.23,0.22,0.26,0.85,0.78,0.43,0.27,0.05,0.69,0.64,0.63,1.0,0.59,0.11
mptvseries.csv,0.76,0.3,0.0,0.78,0.47,0.47,0.07,0.65,0.96,0.8,0.81,0.67,0.21,0.93,0.81,0.85,1.0,0.84,0.21
nativeclient.csv,0.78,0.32,0.8,0.71,0.31,0.28,0.2,0.57,0.88,0.83,0.6,0.46,0.14,0.63,0.74,0.69,0.9,0.77,0.13
openfrag.csv,0.63,0.26,0.76,0.66,0.39,0.26,0.21,0.68,0.9,0.82,0.95,0.57,0.14,0.81,0.72,0.71,0.9,0.74,0.11
phet.csv,0.14,0.29,0.75,0.28,0.11,0.22,0.42,0.23,0.57,0.69,0.16,0.29,0.08,0.31,0.59,0.5,0.18,0.52,0.0
qdvdauthor.csv,0.7,0.21,0.7,0.57,0.21,0.22,0.27,0.5,0.93,0.76,0.43,0.5,0.09,0.57,0.82,0.66,0.98,0.59,0.09
qse.csv,0.64,0.41,0.74,0.66,0.37,0.28,0.25,0.63,0.92,0.8,0.79,0.46,0.11,0.67,0.71,0.69,0.9,0.83,0.11
sauerbraten.csv,0.83,0.25,0.7,0.57,0.26,0.28,0.24,0.4,0.84,0.77,0.43,0.36,0.08,0.55,0.7,0.62,0.93,0.59,0.02
toped.csv,0.67,0.21,0.71,0.6,0.29,0.23,0.23,0.46,1.0,0.76,0.44,0.35,0.09,0.61,0.77,0.66,0.96,0.62,0.11
truevision.csv,0.67,0.0,0.72,0.7,0.3,0.42,0.24,0.41,0.88,0.81,0.0,0.69,0.14,0.67,0.73,0.7,0.89,0.84,0.07
zoolib.csv,0.69,0.55,0.79,0.8,0.4,0.25,0.11,0.91,0.92,0.83,0.86,0.55,0.21,0.84,0.71,0.76,0.91,0.86,0.12
