,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,1.0,0.89,0.53,0.32,0.73,0.18,0.33,0.38,0.74,0.93,0.58,0.15,0.15,0.07,0.6,0.88
calcubetimer.csv,0.83,0.89,0.65,0.37,0.79,0.1,0.43,0.33,0.8,1.0,0.6,0.22,0.2,0.09,0.64,0.88
chaosrts.csv,0.83,0.87,0.53,0.35,0.78,0.12,0.52,0.38,0.73,0.94,0.66,0.15,0.14,0.07,0.65,1.0
dxengine.csv,0.85,1.0,0.75,1.0,0.93,0.39,0.39,0.41,0.72,1.0,0.78,0.29,0.29,0.2,0.8,0.91
freedom-erp.csv,0.67,0.0,0.0,0.0,0.89,0.0,0.0,0.06,0.0,1.0,0.97,0.0,0.0,0.0,0.0,0.8
joustsim.csv,0.9,0.83,0.81,0.43,0.74,0.25,0.29,0.35,0.71,1.0,0.49,1.0,0.19,0.1,0.62,0.88
jsidplay2.csv,0.83,0.85,0.28,0.19,1.0,0.1,0.36,0.29,0.94,0.91,0.58,0.14,0.04,0.11,0.57,0.89
madman.csv,0.71,1.0,1.0,0.0,0.5,0.46,0.57,0.29,0.7,1.0,0.0,0.17,1.0,0.0,0.6,0.94
mclient-mume.csv,0.89,0.83,1.0,0.38,1.0,0.29,0.63,0.5,0.86,1.0,0.5,0.25,0.31,0.09,0.5,0.95
primefaces.csv,0.8,0.83,0.46,0.35,0.56,0.14,0.47,0.49,0.69,0.84,0.0,0.08,0.13,0.08,1.0,0.93
reaper3d.csv,0.88,0.0,0.0,0.0,0.59,0.3,0.27,0.8,1.0,0.92,0.43,0.1,0.0,1.0,0.56,0.57
sblim.csv,0.88,1.0,0.0,0.0,1.0,0.96,0.03,0.43,1.0,1.0,0.67,0.0,0.0,0.0,0.43,1.0
sevenupdate.csv,0.83,1.0,0.55,0.35,0.76,0.21,0.33,0.38,0.73,0.94,0.58,0.23,0.14,0.07,0.67,0.88
springside.csv,0.85,0.9,0.7,0.43,0.87,0.37,0.98,0.36,0.7,0.97,0.67,0.23,0.2,0.08,0.61,0.89
swtfox.csv,0.81,0.92,0.45,0.23,0.64,0.28,0.29,1.0,0.76,0.91,0.21,0.03,0.07,0.06,0.52,0.86
tmva.csv,0.84,0.88,0.49,0.33,0.82,0.18,0.4,0.3,1.0,0.94,0.58,0.16,0.2,0.08,0.59,0.88
