,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.3,0.3,0.34,0.25,0.66,0.37,0.24,0.37,0.61,0.17,0.25,0.78,0.77,0.21,0.67,0.63,0.2
bwapi.csv,0.74,0.24,0.22,0.19,0.48,0.55,0.45,0.12,0.31,0.21,0.35,0.86,0.72,0.09,0.56,0.85,0.18
co-ode-owl-plugins.csv,0.56,0.34,0.33,0.24,0.73,0.52,0.36,0.65,0.63,0.17,0.09,0.54,0.31,0.11,0.67,0.76,0.11
firebreath.csv,0.59,0.35,0.3,0.28,0.7,0.64,0.41,0.31,0.59,0.23,0.12,0.71,0.59,0.2,0.5,0.44,0.25
frogatto.csv,0.74,0.27,0.25,0.28,0.63,0.57,0.49,0.15,0.6,0.36,0.36,0.78,0.69,0.1,0.71,0.35,0.29
gretl.csv,0.82,0.32,0.3,0.28,0.7,0.47,0.29,0.36,0.55,0.2,0.23,0.81,0.65,0.15,0.68,0.87,0.14
jasperreports.csv,0.54,0.19,0.22,0.17,0.45,0.53,0.43,0.11,0.22,0.17,0.38,0.8,0.69,0.44,0.34,0.24,0.08
konversation.csv,0.57,0.29,0.45,0.31,0.57,0.62,0.33,0.23,0.23,0.17,0.24,0.59,0.37,0.23,0.38,0.2,0.11
linuxsh.csv,0.44,0.55,0.43,0.19,0.67,0.22,0.0,0.6,0.68,0.17,0.0,0.29,0.19,0.0,0.61,0.71,0.09
moviesandbox.csv,0.73,0.31,0.32,0.3,0.73,0.5,0.14,0.36,0.67,0.18,0.11,0.24,0.26,0.12,0.64,0.3,0.17
ontomorphtab.csv,0.73,0.29,0.24,0.24,0.74,0.58,0.47,0.12,0.55,0.22,0.37,0.88,0.76,0.23,0.68,0.52,0.1
opengs.csv,0.36,0.24,0.43,0.35,0.67,0.48,0.15,0.29,0.72,0.2,0.0,0.57,0.53,0.19,0.51,0.45,0.23
scite-ru.csv,0.78,0.35,0.25,0.25,0.73,0.49,0.47,0.31,0.65,0.22,0.36,0.62,0.51,0.1,0.73,0.86,0.2
tokratan.csv,0.53,0.24,0.4,0.37,0.67,0.43,0.13,0.09,0.43,0.28,0.31,0.81,0.61,0.16,0.39,0.21,0.38
vrjuggler.csv,0.42,0.0,0.22,0.04,0.08,0.18,0.29,0.1,0.31,0.08,0.46,0.11,0.12,0.01,0.42,0.38,0.18
wxcode.csv,0.43,0.0,0.4,0.3,0.37,0.43,0.45,0.1,0.0,0.46,0.19,0.52,0.48,0.23,0.15,0.2,0.5
xuggle.csv,0.52,0.3,0.31,0.43,0.66,0.49,0.46,0.13,0.66,0.37,0.15,0.71,0.68,0.09,0.68,0.77,0.36
