,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.86,0.33,0.57,0.62,0.73,0.62,0.0
gstreamer.csv,1.0,0.58,0.91,0.73,0.86,0.69,0.64
ifmo-game-1.csv,0.86,0.04,0.23,0.04,0.18,0.32,0.03
pi-qmc.csv,0.29,0.38,0.41,0.58,0.82,0.91,0.91
quarkplusplus.csv,0.57,0.58,0.49,0.35,0.18,0.27,0.07
xapian.csv,0.86,0.79,0.73,0.65,0.45,0.52,0.47
zemljanka.csv,0.86,0.79,0.95,0.96,0.77,0.6,0.8
