,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.69,0.78,0.31,0.13,0.59,0.42,0.73,0.64,1.0,0.0,0.82,0.63,0.17,0.62,0.44,0.47
bullet.csv,0.81,0.58,0.62,0.53,0.41,0.73,0.6,0.36,0.83,0.0,0.47,0.39,0.8,0.19,0.44,0.47
customwars.csv,0.55,0.41,0.19,0.47,0.31,0.54,0.46,0.27,0.83,0.0,0.41,0.68,0.67,0.35,0.28,0.53
dvd-create.csv,0.47,0.84,0.44,0.58,0.8,0.64,0.9,0.82,0.67,0.08,0.88,0.61,0.87,0.92,0.53,0.65
gbif-indexingtoolkit.csv,0.92,0.65,0.56,0.93,0.89,0.4,0.58,0.55,0.67,0.0,0.71,0.44,0.7,0.65,0.69,0.86
go.csv,0.74,0.73,0.44,0.33,0.35,0.48,0.83,0.73,0.67,0.0,0.88,0.71,0.67,0.81,0.69,0.73
growl-for-windows.csv,0.73,0.0,0.31,0.0,0.01,0.0,0.85,0.55,0.0,0.0,1.0,0.49,0.8,0.12,0.69,0.18
gss.csv,0.82,0.73,0.62,0.58,0.62,0.81,0.75,0.73,1.0,0.0,0.88,0.95,0.73,0.69,0.61,0.55
kwave.csv,0.81,1.0,0.44,1.0,1.0,0.54,0.94,0.91,1.0,0.25,0.82,0.98,0.93,0.81,0.67,1.0
libarchive.csv,0.85,0.8,0.5,0.22,0.69,0.82,1.0,1.0,0.83,0.92,0.94,1.0,0.77,0.81,0.89,0.65
linux-ntfs.csv,0.53,0.61,0.44,0.56,0.64,0.67,0.52,0.55,0.17,0.58,0.71,0.63,0.77,0.73,0.47,0.59
lsb.csv,0.68,0.57,0.5,0.67,0.88,0.67,0.5,0.45,0.83,0.0,0.88,0.49,0.93,0.77,0.72,0.63
mpgravity.csv,0.99,0.77,0.5,0.91,0.86,0.75,1.0,1.0,0.0,0.75,1.0,0.93,1.0,0.96,0.92,0.94
qcad2.csv,0.51,0.46,0.19,0.47,0.32,0.43,0.81,0.55,0.83,0.17,0.53,0.73,0.87,0.65,0.72,0.76
qtwin.csv,0.09,0.0,0.0,0.0,0.0,0.04,0.08,0.45,1.0,0.17,0.29,0.32,0.17,0.38,0.06,0.0
xinity.csv,0.45,0.95,0.25,0.84,0.88,0.3,0.35,0.36,0.5,0.17,0.82,0.8,0.93,0.58,0.64,0.86
