,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.75,0.79,0.24,0.11,0.72,0.57,0.56,0.27,0.01,0.0,0.27,0.63,0.26,0.54,0.53,0.58
bullet.csv,0.79,0.63,0.28,0.69,0.55,0.8,0.48,0.22,0.02,0.0,0.2,0.47,0.71,0.3,0.52,0.52
customwars.csv,0.67,0.53,0.16,0.63,0.46,0.65,0.48,0.19,0.01,0.0,0.27,0.63,0.69,0.43,0.4,0.55
dvd-create.csv,0.59,0.75,0.29,0.26,0.87,0.75,0.51,0.35,0.01,0.15,0.26,0.62,0.75,0.66,0.54,0.56
gbif-indexingtoolkit.csv,0.83,0.65,0.29,0.38,0.85,0.5,0.39,0.39,0.0,0.0,0.24,0.54,0.59,0.56,0.68,0.55
go.csv,0.76,0.78,0.37,0.19,0.51,0.61,0.61,0.3,0.01,0.0,0.28,0.68,0.66,0.61,0.79,0.64
growl-for-windows.csv,0.78,0.0,0.29,0.0,0.03,0.0,0.56,0.26,0.0,0.0,0.27,0.53,0.71,0.2,0.79,0.31
gss.csv,0.8,0.74,0.35,0.69,0.74,0.79,0.57,0.28,0.01,0.0,0.25,0.76,0.77,0.57,0.62,0.59
kwave.csv,0.78,0.78,0.39,0.4,0.89,0.65,0.54,0.34,0.01,0.33,0.24,0.78,0.78,0.64,0.64,0.59
libarchive.csv,0.81,0.77,0.3,0.3,0.74,0.81,0.59,0.32,0.01,0.38,0.26,0.77,0.66,0.6,0.77,0.66
linux-ntfs.csv,0.63,0.65,0.29,0.51,0.73,0.75,0.49,0.27,0.02,0.35,0.3,0.61,0.77,0.6,0.52,0.62
lsb.csv,0.74,0.58,0.23,0.71,0.84,0.74,0.49,0.32,0.01,0.0,0.26,0.51,0.74,0.65,0.7,0.57
mpgravity.csv,0.86,0.77,0.25,0.39,0.84,0.75,0.51,0.32,0.0,0.62,0.26,0.75,0.75,0.64,0.8,0.6
qcad2.csv,0.64,0.6,0.25,0.26,0.48,0.57,0.67,0.29,0.01,0.27,0.21,0.68,0.74,0.58,0.72,0.67
qtwin.csv,0.16,0.0,0.0,0.0,0.0,0.08,0.15,0.26,0.05,0.21,0.19,0.43,0.28,0.48,0.1,0.0
xinity.csv,0.53,0.75,0.28,0.35,0.83,0.43,0.31,0.24,0.0,0.29,0.29,0.78,0.73,0.49,0.67,0.53
