,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.29,0.63,0.26,0.71,0.5,0.56,1.0,0.68,0.62,0.78,0.87,0.56,0.0,0.37,0.5,0.4,0.62,0.0,0.04
beast-mcmc.csv,0.55,0.55,0.26,0.62,0.56,0.59,0.37,0.64,0.23,0.82,0.91,0.64,0.32,0.28,0.54,0.4,0.77,0.74,0.08
bigdata.csv,0.47,0.58,0.24,0.73,0.66,0.5,0.39,0.58,0.25,0.92,0.93,0.67,0.3,0.38,0.0,0.36,0.71,0.69,0.03
codesmith.csv,0.39,0.57,0.25,0.66,0.51,0.51,0.4,0.48,0.12,0.79,0.9,0.54,0.28,0.26,0.44,0.43,0.87,0.7,0.09
coot.csv,0.17,0.71,0.14,0.59,1.0,0.42,0.39,0.4,0.26,0.74,0.86,0.33,0.0,0.26,0.76,0.3,0.77,0.0,0.04
cuberok.csv,0.42,0.54,0.19,0.69,0.53,0.5,0.7,0.64,0.33,0.79,0.89,0.54,0.3,0.26,0.43,0.46,0.38,0.72,0.05
icescrum.csv,0.49,0.6,0.31,0.83,0.52,0.62,0.45,0.68,0.39,0.85,0.91,0.65,0.24,0.36,0.58,0.7,0.75,0.73,0.11
jbasic.csv,0.32,0.45,0.22,0.67,0.52,0.53,0.45,0.67,0.31,0.78,0.92,0.54,0.29,0.38,0.55,0.4,0.55,0.72,0.09
jrefactory.csv,0.19,0.7,0.18,0.56,0.44,0.46,0.42,0.38,0.22,0.88,0.89,0.74,0.31,0.23,0.72,0.34,0.64,0.82,0.05
jsecurity.csv,0.42,0.46,0.41,0.68,0.53,0.58,0.32,0.69,0.24,0.93,0.9,0.65,0.33,0.08,0.69,0.5,0.69,0.68,0.5
kolmafia.csv,0.28,0.57,0.23,0.69,0.54,0.54,0.47,0.55,0.31,0.78,0.88,0.81,0.39,0.25,0.57,0.38,0.44,0.75,0.05
libopenmetaverse.csv,0.27,0.58,0.19,0.65,0.7,0.51,0.36,0.49,0.36,0.77,0.88,0.57,0.24,0.25,0.52,0.38,0.8,0.78,0.06
mevenide.csv,0.55,0.72,0.27,1.0,0.62,0.75,0.7,0.74,0.58,0.9,0.93,0.83,0.6,0.54,0.6,0.54,0.24,0.78,0.14
mobicents.csv,0.39,0.58,0.35,0.88,0.44,0.69,0.44,0.57,0.42,0.78,0.89,0.59,0.36,0.33,0.58,0.41,0.37,0.65,0.07
opendvr.csv,0.43,0.47,0.38,0.76,0.49,0.64,0.5,0.6,0.38,0.81,0.89,0.55,0.52,0.21,0.61,0.52,0.55,0.69,0.08
power-architect.csv,0.29,0.54,0.23,0.68,0.51,0.51,0.39,0.45,0.33,0.95,0.89,0.57,0.29,0.27,0.52,0.35,0.65,0.69,0.04
sidekar.csv,0.0,0.0,0.0,0.87,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0
ta3d.csv,0.2,0.68,0.12,0.59,1.0,0.46,0.39,0.71,0.41,0.8,0.89,0.57,0.0,0.36,0.43,0.3,0.44,0.71,0.06
thedata.csv,0.25,0.61,0.18,0.67,0.55,0.5,0.35,0.49,0.33,0.76,0.88,0.53,0.29,0.17,0.6,0.46,0.62,0.71,0.5
