,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.44,0.6,0.86,0.94,0.89,0.71,0.44,0.42,0.56,0.88,0.58,0.73,0.42,0.43,0.37,0.78,0.56
amygdala.csv,0.38,0.67,0.45,0.82,0.75,0.72,0.47,0.51,0.82,0.37,0.65,0.5,0.98,0.71,0.41,0.94,0.0
awemud.csv,0.4,0.45,0.56,0.7,0.42,0.86,0.45,0.48,0.83,0.0,0.37,0.47,0.98,0.49,0.39,0.5,0.68
bullet.csv,0.44,0.43,0.44,0.66,0.71,0.36,0.58,0.63,0.99,0.75,0.68,0.44,0.45,0.7,0.77,0.39,0.55
customwars.csv,0.38,0.41,0.41,0.86,0.5,0.36,0.46,0.42,0.48,0.64,0.53,0.52,0.41,0.39,0.35,0.53,0.4
dvd-create.csv,0.43,0.43,0.5,0.67,0.43,0.44,0.46,0.37,0.53,0.86,0.34,0.44,0.56,0.34,0.4,0.38,0.53
gbif-indexingtoolkit.csv,0.45,0.74,0.55,0.58,0.48,0.71,0.6,0.68,0.61,0.0,0.42,0.53,0.62,0.69,0.56,0.55,0.53
go.csv,0.45,0.47,0.56,0.71,0.61,0.4,0.45,0.35,0.51,0.0,0.34,0.46,0.52,0.42,0.39,0.66,0.6
growl-for-windows.csv,0.37,0.0,0.46,0.0,0.86,0.67,0.43,0.38,0.0,0.0,0.34,0.43,0.0,0.55,0.5,0.62,0.91
kwave.csv,0.42,0.41,0.7,0.65,0.41,0.41,0.46,0.32,0.57,0.0,0.35,0.46,0.43,0.32,0.39,0.32,0.45
libarchive.csv,0.36,0.4,0.45,0.67,0.57,0.34,0.45,0.4,0.5,0.0,0.35,0.45,0.44,0.39,0.35,0.47,0.44
linux-ntfs.csv,0.37,0.43,0.42,0.57,0.37,0.37,0.56,0.43,0.99,0.44,0.35,0.44,0.43,0.38,0.42,0.35,0.46
lsb.csv,0.34,0.49,0.43,0.55,0.4,0.47,0.54,0.62,0.64,0.0,0.35,0.43,0.56,0.53,0.43,0.56,0.6
mpgravity.csv,0.4,0.4,0.4,0.6,0.39,0.34,0.47,0.37,0.0,0.53,0.33,0.4,0.0,0.35,0.36,0.43,0.43
qcad2.csv,0.45,0.55,0.9,0.73,0.56,0.48,0.49,0.44,0.67,0.83,0.4,0.85,0.55,0.46,0.42,0.72,0.5
qtwin.csv,0.88,0.0,0.0,0.0,0.0,0.83,0.86,0.58,1.0,0.86,0.68,0.75,0.98,0.65,0.53,0.67,0.0
roller.csv,0.48,0.39,0.54,0.56,0.4,0.44,0.49,0.34,0.53,0.83,0.33,0.53,0.46,0.45,0.41,0.43,0.45
