,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.33,0.33,0.53,0.43,0.4,0.58,0.42,0.43,0.43,0.54,0.37,0.34,0.38,0.42,0.47,0.31
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.45,0.62,0.54,0.5
bionote.csv,0.62,0.36,0.6,0.89,0.89,0.75,0.75,0.47,0.95,0.58,0.82,0.36,0.53,0.47,0.81,0.36
bnetd.csv,0.38,0.39,0.52,0.45,0.68,0.57,0.7,0.39,0.5,0.4,0.45,0.33,0.41,0.39,0.49,0.3
elvishrayrenderer.csv,0.38,0.45,0.0,0.36,0.42,0.56,0.88,0.75,0.99,0.56,0.89,0.38,0.52,0.57,0.48,0.35
emisview.csv,0.82,0.0,0.5,0.6,0.57,0.54,0.88,0.86,0.73,0.0,0.65,0.52,0.72,0.92,0.54,0.75
hazelcast.csv,0.3,0.3,0.48,0.33,0.33,0.28,0.34,0.38,0.34,0.38,0.41,0.3,0.37,0.51,0.38,0.33
jitterbit.csv,0.33,0.35,0.68,0.51,0.38,0.45,0.61,0.92,0.63,0.86,0.43,0.52,0.4,0.49,0.41,0.45
jppf-project.csv,0.4,0.65,0.57,0.86,0.49,0.38,0.47,0.42,0.44,0.82,0.59,0.39,0.47,0.68,0.54,0.59
l2j.csv,0.39,0.32,0.62,0.36,0.41,0.38,0.41,0.44,0.4,0.46,0.43,0.43,0.37,0.47,0.55,0.34
megasquirtavr.csv,0.33,0.39,0.62,0.4,0.41,0.3,0.41,0.47,0.54,0.57,0.42,0.33,0.37,0.39,0.44,0.4
stajistics.csv,0.33,0.39,0.5,0.4,0.38,0.31,0.9,0.51,0.51,0.47,0.52,0.35,0.4,0.42,0.47,0.35
trackit.csv,0.86,0.0,0.8,0.67,0.85,0.74,0.5,0.0,0.97,0.95,0.62,0.0,0.83,0.8,0.82,0.83
wxlua.csv,0.81,0.45,0.62,0.46,0.94,0.93,0.71,0.8,0.68,0.53,0.4,0.66,0.57,0.57,0.93,0.49
x4x.csv,0.38,0.35,0.53,0.51,0.53,0.37,0.55,0.47,0.52,0.7,0.43,0.48,0.47,0.46,0.65,0.38
xharbour.csv,0.35,0.36,0.56,0.45,0.44,0.33,0.4,0.47,0.42,0.6,0.45,0.55,0.5,0.44,0.44,0.42
