,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.34,0.16,0.16,0.48,0.19,0.18,0.45,0.4,1.0,0.15,0.67,0.22,0.29,0.1
dvt.csv,0.09,0.55,0.16,0.51,0.0,0.99,0.08,0.56,0.11,0.17,0.38,0.61,0.14,0.13
flylinkdc.csv,0.99,0.45,0.23,0.06,0.36,0.17,0.44,0.46,0.28,0.43,0.12,0.41,0.36,0.23
fulguro.csv,0.2,0.33,0.27,0.39,0.22,0.07,0.17,0.48,0.15,0.27,0.48,0.31,0.05,0.96
gnome-jabber.csv,0.44,0.67,0.14,0.9,0.31,0.47,0.46,0.75,0.42,0.49,0.98,0.9,0.74,0.22
ipfire-wall.csv,0.27,0.46,0.26,0.49,0.22,0.22,0.12,0.52,0.2,0.97,0.76,0.49,0.52,0.27
jruby.csv,0.41,0.42,0.17,0.86,0.3,0.41,0.31,0.43,0.0,0.26,0.59,1.0,0.57,0.14
ldview.csv,0.39,0.47,0.18,0.42,0.44,0.23,1.0,0.55,0.25,0.32,0.23,0.55,0.62,0.2
maidsafe-dht.csv,0.22,0.21,0.21,0.18,1.0,0.13,0.09,0.35,0.0,0.37,0.12,0.1,0.42,0.0
nuttx.csv,0.36,0.65,0.15,1.0,0.33,0.5,0.55,0.55,0.1,0.43,0.61,0.87,0.66,0.17
oorexx.csv,0.4,0.55,0.13,0.76,0.33,0.46,0.45,0.55,0.4,0.31,0.58,0.64,0.97,0.21
red5.csv,0.39,0.49,0.17,0.53,0.3,0.37,0.46,0.99,0.44,0.43,0.3,0.8,0.24,0.14
vdsf.csv,0.38,0.65,0.92,0.87,0.23,0.39,0.53,0.7,0.4,0.38,0.96,0.85,0.76,0.22
xbrlapi.csv,0.19,0.99,0.13,0.87,0.23,0.32,0.59,0.54,0.47,0.38,0.93,0.5,0.32,0.28
