,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.71,0.91,0.91,0.83,0.82,0.88,0.66,0.74,0.0,0.91,0.53,0.9,0.84,0.92
dvt.csv,0.95,0.87,0.91,0.7,1.03,0.02,0.95,0.72,0.93,0.89,0.79,0.71,0.94,0.91
flylinkdc.csv,0.03,0.68,0.8,0.97,0.56,0.88,0.68,0.69,0.76,0.63,0.93,0.89,0.78,0.68
fulguro.csv,0.87,0.79,0.73,0.83,0.78,1.01,0.91,0.67,0.91,0.83,0.78,0.84,0.97,0.01
gnome-jabber.csv,0.88,0.98,0.98,0.87,0.88,0.92,0.99,0.93,0.87,0.92,0.6,1.0,0.88,1.0
ipfire-wall.csv,0.8,0.67,0.57,0.83,0.78,0.84,0.94,0.67,0.87,0.03,1.06,0.73,0.74,0.57
jruby.csv,0.83,0.81,0.94,0.93,0.73,0.64,0.78,0.73,1.0,0.81,0.7,0.05,0.71,0.91
ldview.csv,0.64,0.7,0.7,0.76,0.49,0.95,0.0,0.61,0.8,0.77,0.89,0.7,0.57,0.72
maidsafe-dht.csv,0.87,0.88,0.69,0.93,0.0,0.92,0.95,0.78,1.0,0.73,0.93,0.95,0.73,1.0
nuttx.csv,0.85,0.81,0.98,0.03,0.64,0.62,0.52,0.71,0.94,0.66,0.68,0.9,0.67,0.77
oorexx.csv,0.74,0.72,0.99,0.73,0.61,0.58,0.75,0.61,0.63,0.98,0.62,0.68,0.08,0.78
red5.csv,0.66,0.74,0.93,0.73,0.66,0.68,0.64,0.02,0.58,0.68,0.83,0.69,0.86,0.81
vdsf.csv,0.87,0.71,0.12,1.0,0.91,0.87,1.0,0.94,0.95,0.95,1.0,0.76,0.84,0.92
xbrlapi.csv,0.86,0.03,0.94,0.93,0.78,0.78,0.57,0.74,0.66,0.7,0.8,0.8,0.87,0.56
