,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,99.0,880.0,81.5,99.0,63.5,197.5,381.5,198.0,98.5,241.5,97.5,269.5,92.5,471.0,98.5,97.5,349.0
blogentis.csv,198.0,847.5,98.5,99.0,98.5,385.5,95.5,95.5,194.0,1073.0,815.0,391.5,97.5,292.5,99.0,196.5,1235.0
bochs.csv,198.0,1495.0,98.5,99.0,98.5,197.5,95.5,198.0,98.5,98.5,97.5,488.5,97.5,292.5,99.0,196.5,525.0
galaxium.csv,11129.0,1506.5,98.5,99.0,96.5,98.5,258.5,98.5,98.5,796.0,184.0,91.5,97.5,91.5,99.0,87.5,437.5
gisgraphy.csv,99.0,660.5,98.5,99.0,92.5,197.5,95.5,198.0,190.0,295.0,97.5,163.0,92.5,194.0,99.0,97.5,154.0
haphazard.csv,198.0,1701.5,98.5,99.0,98.5,381.0,81.5,192.0,98.5,380.5,453.0,489.0,88.5,384.0,99.0,196.5,970.5
ipfire-wall.csv,198.0,451.5,98.5,99.0,81.5,375.5,294.0,98.5,98.5,98.5,97.5,392.0,97.5,83.5,99.0,89.5,1235.0
jmri.csv,198.0,1884.5,89.5,99.0,46.5,197.5,294.0,198.0,98.5,98.5,97.5,191.5,92.5,194.0,99.0,97.5,794.5
jvcl.csv,198.0,1141.5,89.5,99.0,46.5,98.5,294.0,99.0,98.5,98.5,369.0,248.5,97.5,80.5,98.5,97.5,328.0
kaffeine.csv,10703.5,1887.5,98.5,99.0,98.5,98.5,292.0,198.0,98.5,98.5,97.5,390.5,97.5,292.5,99.0,196.5,1152.5
m-a-d-n-e-s-s.csv,198.0,1074.0,96.5,99.0,46.5,98.5,95.5,197.5,98.5,734.5,184.0,261.5,97.5,220.5,99.0,62.5,415.5
magicwars.csv,198.0,1324.5,98.5,99.0,98.5,197.5,294.0,98.5,98.5,98.5,97.5,588.0,97.5,391.5,99.0,196.5,1235.0
nh3d.csv,99.0,0.0,98.5,99.0,98.5,197.5,294.0,198.0,98.5,98.5,97.5,588.0,97.5,391.5,99.0,196.5,1235.0
opentibia.csv,99.0,1099.5,98.5,99.0,94.5,197.5,83.5,99.0,381.0,188.5,97.5,191.5,92.5,375.0,99.0,97.5,354.0
sarasvati.csv,9242.5,1791.0,96.5,99.0,88.5,197.5,492.0,99.0,92.5,793.0,183.0,96.5,97.5,195.0,99.0,80.5,426.5
smartgwt.csv,4780.5,744.5,98.5,99.0,98.5,480.5,294.0,198.0,98.5,98.5,184.0,489.0,97.5,391.5,98.5,97.5,1113.5
tweetsharp.csv,87.0,595.5,91.5,99.0,84.5,197.5,479.0,99.0,96.5,98.5,183.0,194.5,92.5,391.5,98.5,196.5,173.0
