,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.75,0.38,0.31,0.5,0.14,0.64,0.33,0.71,0.58,0.23,0.33,0.24,0.81,0.23,0.27,0.62,0.59
blogentis.csv,0.75,0.38,0.73,0.53,0.82,0.45,0.75,0.36,0.83,0.85,0.5,0.28,0.67,0.83,0.56,0.71,0.59
bochs.csv,1.0,0.81,0.84,0.6,0.76,0.91,0.5,0.74,0.74,0.54,1.0,0.88,0.67,0.89,0.41,0.95,0.73
galaxium.csv,0.25,0.88,0.42,0.47,0.39,0.27,0.33,0.22,0.47,0.62,0.56,0.52,0.67,0.74,0.6,0.43,0.41
gisgraphy.csv,0.25,0.31,0.52,0.45,0.35,0.64,0.42,0.81,0.41,0.08,0.61,0.04,0.19,0.34,0.13,0.64,0.68
haphazard.csv,1.0,0.69,0.72,0.56,0.55,0.64,0.12,0.24,0.32,0.46,0.17,0.52,0.38,0.54,0.22,0.4,0.45
ipfire-wall.csv,1.0,0.25,0.39,0.35,0.22,0.09,0.88,0.17,0.47,0.85,0.78,0.64,0.62,0.23,0.59,0.45,0.5
jmri.csv,0.5,0.94,0.27,0.61,0.18,0.73,0.88,0.68,0.38,0.38,0.83,0.48,0.38,0.31,0.31,0.5,0.59
jvcl.csv,0.5,0.56,0.24,0.55,0.24,0.27,0.71,0.36,0.43,0.15,0.39,0.32,0.48,0.06,0.66,0.4,0.23
kaffeine.csv,0.25,1.0,0.76,0.66,0.8,0.73,0.88,0.76,0.56,0.85,1.0,0.92,0.67,0.89,0.99,0.86,0.77
m-a-d-n-e-s-s.csv,1.0,0.62,0.17,0.26,0.16,0.27,0.58,0.17,0.2,0.54,0.39,0.6,0.48,0.26,0.55,0.19,0.09
magicwars.csv,1.0,0.75,1.0,0.96,1.0,1.0,0.96,0.65,1.0,1.0,1.0,1.0,1.0,0.94,0.89,1.0,0.82
nh3d.csv,1.0,0.0,1.0,0.29,1.0,1.0,1.0,0.97,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opentibia.csv,0.75,0.12,0.83,0.41,0.27,0.82,0.42,0.68,0.41,0.38,0.94,0.2,0.38,0.46,0.33,0.76,0.68
sarasvati.csv,0.5,0.38,0.45,0.43,0.16,0.82,0.21,0.36,0.26,0.62,0.61,0.36,0.33,0.8,0.69,0.29,0.55
smartgwt.csv,0.25,0.75,0.46,0.79,0.61,0.45,0.58,0.68,0.43,0.69,0.83,0.8,0.81,0.63,0.77,0.79,0.91
tweetsharp.csv,0.25,0.25,0.59,0.7,0.31,0.82,0.29,0.85,0.55,0.31,0.56,0.44,0.52,0.43,0.2,0.71,0.64
