,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.37,0.76,0.29,0.78,0.73,0.54,0.42,0.23,0.93,0.61,0.96,0.71,0.5,0.71,0.53,0.0,0.97,0.05
fbmanager.csv,0.05,0.1,0.19,0.0,0.02,0.12,0.32,0.0,0.37,0.01,0.21,0.03,0.14,0.0,0.37,0.0,0.0,0.58
fido.csv,0.03,0.0,0.03,0.3,0.0,0.04,0.05,0.0,0.25,0.0,0.12,0.0,0.0,0.06,0.01,0.0,0.15,0.0
fityk.csv,0.45,0.76,0.55,0.52,0.66,0.04,0.68,0.17,0.43,0.89,0.48,0.54,0.41,0.52,0.8,0.0,0.31,0.82
fleet-simulator.csv,0.97,0.9,1.0,0.7,0.56,1.0,0.79,0.97,0.82,0.08,0.88,0.59,0.91,1.0,0.66,0.0,0.67,0.71
google-caja.csv,0.32,0.86,0.39,0.26,0.99,0.33,0.89,0.2,0.96,0.97,0.97,0.53,0.77,0.96,0.64,0.0,0.87,0.89
hibernate.csv,0.14,0.33,0.06,0.26,0.89,0.29,0.32,0.03,0.55,0.94,0.26,0.33,0.36,0.55,0.34,0.0,0.27,0.64
itext.csv,0.27,0.95,0.52,1.0,0.93,0.33,0.95,0.2,0.9,0.99,0.94,0.96,0.5,0.82,0.35,0.75,0.67,0.96
k3b.csv,0.47,0.62,0.94,0.89,0.95,0.25,0.95,0.37,0.6,1.0,0.86,1.0,0.73,0.76,0.99,1.0,0.83,0.96
megameknet.csv,0.62,0.52,0.32,0.93,0.48,0.54,0.42,0.53,0.67,0.41,0.46,0.24,0.55,0.56,0.51,0.62,0.52,0.44
myfaces.csv,0.25,0.19,0.1,0.04,0.19,0.29,0.26,0.07,0.72,0.31,0.34,0.1,0.36,0.5,0.09,0.0,0.33,0.49
ninject.csv,0.47,0.43,0.16,0.67,0.29,0.21,0.53,0.23,0.55,0.32,0.25,0.16,0.5,0.25,0.17,1.0,0.2,0.15
ondex.csv,0.16,0.1,0.03,0.04,0.46,0.17,0.42,0.2,0.63,0.02,0.41,0.04,0.18,0.26,0.49,0.0,0.18,0.11
paintown.csv,0.23,0.52,0.74,0.96,0.94,0.42,0.63,0.43,0.9,0.97,0.84,0.95,0.45,0.92,0.84,1.0,0.86,1.0
poormans.csv,0.18,0.33,0.13,0.15,0.26,0.17,0.32,0.33,0.11,0.04,0.07,0.05,0.27,0.52,0.2,0.0,0.09,0.02
powerfolder.csv,0.18,0.1,0.39,0.0,0.35,0.25,0.16,0.1,0.09,0.22,0.33,0.62,0.32,0.12,0.19,0.12,0.24,0.45
smartgwt.csv,0.25,0.38,0.52,0.96,0.36,0.42,0.89,0.27,0.17,0.26,0.77,0.69,0.45,0.62,0.4,0.88,0.24,0.98
triplea.csv,0.23,0.24,0.29,0.52,0.78,0.46,0.58,0.17,0.51,0.26,0.75,0.28,0.32,0.33,0.6,0.0,0.42,0.36
