,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.6,0.97,0.0,0.93,0.5,0.86
fluent-nhibernate.csv,0.98,0.97,0.49,0.54,0.94,0.62
h2database.csv,0.67,0.56,0.86,0.46,0.96,0.69
jaql.csv,0.39,0.52,0.45,0.5,0.51,0.49
raven-monitoring.csv,0.44,0.52,0.54,0.58,0.63,0.49
v8.csv,0.94,0.71,0.41,0.47,0.49,0.61
