,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.39,0.19,0.0,0.42,0.01,0.17
fluent-nhibernate.csv,0.27,0.27,0.3,0.45,0.26,0.52
h2database.csv,0.34,0.41,0.19,0.63,0.2,0.45
jaql.csv,0.25,0.32,0.52,0.58,0.45,0.34
raven-monitoring.csv,0.22,0.19,0.66,0.4,0.69,0.14
v8.csv,0.06,0.26,0.52,0.43,0.9,0.21
