,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.89,0.67,0.64,0.64,0.67,0.66,0.1,0.91,0.88,0.76,0.62
arsenal-1.csv,0.8,0.66,0.5,0.4,0.0,0.46,0.11,0.95,0.62,0.62,0.37
barracudamvc.csv,0.92,0.45,0.4,0.3,0.64,0.21,0.22,0.92,0.78,0.87,0.1
cascading.csv,0.84,0.52,0.58,0.34,0.66,0.46,0.19,0.91,0.85,0.84,0.26
emisview.csv,0.95,0.64,0.59,0.55,0.86,0.45,0.15,0.88,0.88,0.67,0.42
jitterbit.csv,0.82,0.47,0.52,0.32,0.74,0.56,0.16,0.95,0.81,0.78,0.3
jppf-project.csv,0.82,0.45,0.29,0.19,0.64,0.21,0.18,0.99,0.79,0.85,0.33
mevenide.csv,0.82,0.53,0.5,0.33,1.0,0.49,0.17,0.94,0.88,0.76,0.59
mycila.csv,0.84,0.48,0.2,0.3,0.58,0.16,0.4,0.93,0.81,0.87,0.13
ontopia.csv,0.8,0.47,0.39,0.33,0.63,0.26,0.23,0.91,0.65,0.97,0.2
trackit.csv,0.83,0.4,0.29,0.26,0.74,0.24,0.15,1.0,0.33,0.95,0.5
