,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.67,0.93,0.4,0.62,0.82,0.53,0.93,0.77,0.77,0.87,0.83
arsenal-1.csv,0.95,0.44,0.96,0.91,1.0,0.78,0.92,0.6,0.96,0.96,0.54
barracudamvc.csv,0.42,0.97,1.0,0.98,1.0,1.0,0.86,0.89,0.92,0.72,1.02
cascading.csv,0.72,0.69,0.49,0.76,0.68,0.55,0.74,0.76,0.52,0.71,0.68
emisview.csv,0.81,0.75,0.45,0.36,0.85,0.65,0.84,0.86,0.83,0.96,0.83
jitterbit.csv,0.89,1.0,0.56,0.71,0.69,0.35,0.93,0.64,0.69,0.87,0.66
jppf-project.csv,0.76,0.97,0.87,0.89,0.72,0.9,0.76,0.29,0.68,0.75,0.55
mevenide.csv,0.89,0.74,0.87,0.96,0.98,0.65,0.91,0.68,0.83,0.88,0.35
mycila.csv,0.83,0.94,0.95,0.93,0.9,0.9,0.45,0.67,0.64,0.67,0.97
ontopia.csv,0.83,0.71,0.76,0.69,0.89,0.74,0.62,0.82,0.91,0.22,0.88
trackit.csv,0.91,0.93,0.88,0.79,0.52,0.87,0.81,0.89,0.99,0.77,0.97
