,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.45,0.09,0.45,0.16,0.38,0.76,0.84,0.25,0.45,0.37,0.41,0.43,0.3,0.2,0.28,0.74,0.06
blue-c.csv,0.33,0.57,0.53,0.86,0.37,0.8,0.4,0.0,0.14,0.72,0.46,0.35,0.47,0.59,0.61,0.65,0.74
factor.csv,0.12,0.43,0.12,0.38,0.25,0.02,0.14,0.54,0.0,0.3,0.57,0.54,0.41,0.1,0.46,0.46,0.92
fltk.csv,0.24,0.63,0.58,0.74,0.36,0.5,0.27,0.13,0.07,0.69,0.66,0.25,0.41,0.75,0.57,0.62,0.79
free-evolution.csv,0.29,0.21,0.44,0.32,0.0,0.16,0.32,0.53,0.14,0.7,0.59,0.6,0.57,0.46,0.59,0.55,0.24
icescrum.csv,0.58,0.42,0.28,0.55,0.26,0.72,0.7,0.75,0.56,0.33,0.56,0.44,0.0,0.65,0.43,0.79,0.68
jbasic.csv,0.53,0.6,0.21,0.65,0.36,0.75,0.4,0.44,0.63,0.0,0.57,0.13,0.0,0.0,0.57,0.55,0.16
kvs.csv,0.72,0.18,0.53,0.04,0.58,0.09,0.76,0.09,0.49,0.38,0.49,0.29,0.38,0.42,0.18,0.68,0.06
monetdb.csv,0.0,0.16,0.16,0.63,0.13,0.16,0.57,0.63,0.22,0.44,0.67,0.36,0.39,0.61,0.37,0.61,0.42
phet.csv,0.49,0.12,0.61,0.15,0.49,0.46,0.55,0.09,0.64,0.28,0.3,0.59,0.22,0.16,0.44,0.24,0.35
projecteqemu.csv,0.12,0.55,0.23,0.48,0.0,0.69,0.71,0.56,0.14,0.69,0.62,0.17,0.0,0.77,0.44,0.7,0.06
repositorium.csv,0.45,0.35,0.19,0.0,0.44,0.02,0.0,0.0,0.0,0.04,0.24,0.46,0.72,0.07,0.33,0.19,0.06
smarttag.csv,0.48,0.63,0.45,0.75,0.24,0.19,0.31,0.72,0.07,0.39,0.52,0.13,0.21,0.38,0.53,0.67,0.33
sumatrapdf.csv,0.56,0.42,0.23,0.3,0.29,0.38,0.21,0.0,0.4,0.8,0.33,0.62,0.41,0.33,0.46,0.33,0.64
voms.csv,0.24,0.64,0.55,0.35,0.88,0.48,0.43,0.54,0.14,0.73,0.69,0.21,0.41,0.74,0.41,0.66,0.42
vrjuggler.csv,0.38,0.42,0.61,0.2,0.0,0.41,0.36,0.0,0.62,0.11,0.16,0.17,0.39,0.31,0.25,0.06,0.4
wheat.csv,0.53,0.2,0.27,0.63,0.13,0.1,0.44,0.25,0.14,0.42,0.58,0.72,0.2,0.29,0.54,0.63,0.12
