,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.5,0.82,0.15,0.76,0.47,0.74,0.52,0.2,0.07,0.3,0.31
azureus.csv,0.5,0.68,0.85,0.51,0.76,0.52,0.21,0.48,0.78,0.6,0.42
forester-atv.csv,0.5,0.28,0.24,0.07,0.17,0.4,0.86,0.76,0.28,0.9,0.08
gabel.csv,0.0,0.4,0.12,0.71,0.27,0.36,0.16,0.52,0.0,0.1,0.11
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.8,1.0,1.0,0.97
javaprofiler.csv,0.0,0.85,0.39,0.81,0.66,0.95,0.7,0.68,0.2,0.6,0.17
mycila.csv,1.0,0.2,0.88,0.46,0.8,0.21,0.44,0.6,0.72,0.7,0.83
neodatis-odb.csv,1.0,0.85,0.58,0.29,0.66,0.29,0.34,0.12,0.13,0.7,0.39
pokenetonline.csv,0.0,0.88,0.97,0.84,0.83,0.69,0.92,0.2,0.72,0.8,0.69
rcp-company-uibindings.csv,0.0,0.68,0.33,0.7,0.33,0.36,0.41,0.12,0.3,0.0,0.19
servicestack.csv,0.0,0.42,0.09,0.24,0.07,0.19,0.04,0.04,0.24,0.0,0.0
