,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.93,0.68,0.85,0.59,0.78
chrysalis.csv,0.24,0.42,0.48,0.93,0.35
mobicents.csv,0.41,0.96,0.67,0.26,0.43
snakeyaml.csv,0.66,0.39,1.0,0.22,0.36
xamj.csv,0.55,0.51,0.93,0.22,0.96
