,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.61,0.15,0.55,0.67,0.5,0.62,0.7,0.7,0.67,0.48,0.6,0.21,0.74,0.41,0.82,0.35,0.46,0.89,0.51
decidr.csv,0.5,0.18,0.55,0.71,0.41,0.52,0.75,0.7,0.66,0.43,0.67,0.22,0.77,0.42,0.7,0.33,0.45,0.87,0.46
doomlegacy.csv,0.59,0.16,0.55,0.78,0.45,0.53,0.72,0.67,0.68,0.42,0.64,0.2,0.74,0.41,0.87,0.35,0.44,0.91,0.55
elmo.csv,0.19,0.0,0.18,0.0,0.06,0.0,0.28,0.1,0.05,0.3,0.13,0.07,0.1,0.0,0.12,0.0,0.21,0.33,0.29
gpac.csv,0.64,0.13,0.56,0.77,0.44,0.51,0.72,0.68,0.65,0.42,0.63,0.21,0.74,0.41,0.84,0.33,0.44,0.9,0.54
illumination.csv,0.0,0.13,0.02,0.37,0.0,0.49,0.0,0.0,0.0,0.31,0.19,0.08,0.64,0.38,0.0,0.3,0.43,0.53,0.0
img-browse-sort.csv,0.66,0.13,0.43,0.68,0.55,0.48,0.64,0.32,0.27,0.3,0.65,0.32,0.77,0.58,0.39,0.31,0.27,0.75,0.49
ktc.csv,0.73,0.2,0.63,0.08,0.59,0.39,0.6,0.46,0.41,0.17,0.2,0.33,0.63,0.5,0.51,0.36,0.59,0.56,0.46
neoengine.csv,0.53,0.12,0.61,0.63,0.41,0.49,0.68,0.7,0.64,0.44,0.33,0.31,0.6,0.59,0.43,0.36,0.51,0.85,0.46
nicepress.csv,0.48,0.15,0.56,0.57,0.5,0.64,0.69,0.67,0.64,0.42,0.56,0.23,0.68,0.42,0.35,0.36,0.49,0.6,0.47
omseek.csv,0.18,0.0,0.0,0.04,0.0,0.0,0.14,0.0,0.1,0.2,0.06,0.15,0.0,0.27,0.05,0.09,0.23,0.03,0.27
pi-qmc.csv,0.46,0.12,0.59,0.63,0.43,0.49,0.51,0.68,0.67,0.34,0.45,0.23,0.66,0.41,0.68,0.33,0.57,0.51,0.4
rosegarden.csv,0.73,0.18,0.6,0.53,0.59,0.47,0.61,0.41,0.33,0.29,0.29,0.3,0.67,0.46,0.76,0.31,0.63,0.47,0.5
sigil.csv,0.66,0.14,0.59,0.66,0.48,0.54,0.68,0.49,0.38,0.46,0.6,0.29,0.86,0.48,0.57,0.22,0.47,0.81,0.48
smarttag.csv,0.67,0.2,0.45,0.14,0.49,0.46,0.23,0.44,0.1,0.12,0.55,0.24,0.11,0.16,0.73,0.31,0.37,0.7,0.5
sylpheed-claws.csv,0.61,0.13,0.56,0.75,0.46,0.51,0.71,0.62,0.7,0.43,0.64,0.2,0.76,0.41,0.8,0.36,0.42,0.87,0.56
tango-cs.csv,0.36,0.15,0.45,0.61,0.44,0.48,0.63,0.62,0.49,0.32,0.59,0.19,0.58,0.27,0.5,0.38,0.44,0.7,0.5
xemeiah.csv,0.59,0.12,0.57,0.52,0.48,0.56,0.71,0.67,0.65,0.41,0.74,0.31,0.78,0.45,0.65,0.0,0.58,0.7,0.57
zscreen.csv,0.63,0.08,0.58,0.85,0.51,0.54,0.71,0.41,0.44,0.4,0.6,0.25,0.82,0.36,0.76,0.29,0.42,0.89,0.48
