,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.76,0.7,0.99,0.58,0.67,0.56,0.99,1.0,0.84,0.58,0.68,0.88,0.92,0.97,0.89,0.84,0.91,0.93,0.95
decidr.csv,0.6,0.57,0.63,0.8,0.78,0.96,0.39,1.0,0.96,0.87,0.63,0.7,0.81,0.95,0.77,0.85,0.96,0.86,0.72
doomlegacy.csv,0.89,0.59,0.99,0.61,0.96,0.91,0.98,0.79,0.64,1.0,0.96,0.98,1.0,0.97,0.81,0.91,1.0,0.79,0.99
elmo.csv,0.89,1.0,0.89,1.0,0.96,1.0,0.83,0.95,0.97,0.75,0.93,0.94,0.95,1.0,0.94,1.0,0.87,0.8,0.81
gpac.csv,0.5,1.0,0.89,0.96,0.88,1.0,1.0,0.71,0.81,1.0,1.0,0.95,1.0,1.0,0.93,1.0,1.0,1.0,0.74
illumination.csv,1.0,0.8,0.99,0.83,1.0,0.57,1.0,1.0,1.0,0.72,0.89,0.94,0.97,0.8,1.0,0.82,0.97,0.87,1.0
img-browse-sort.csv,0.41,0.81,0.67,0.47,0.52,0.59,0.81,0.8,0.84,0.77,0.45,0.55,0.34,0.47,0.75,0.67,0.82,0.44,0.69
ktc.csv,0.34,0.63,0.46,0.96,0.5,0.73,0.56,0.68,0.72,0.88,0.88,0.44,0.52,0.55,0.66,0.6,0.51,0.63,0.64
neoengine.csv,0.57,0.77,0.48,0.53,0.63,0.59,0.46,1.0,0.99,0.76,0.78,0.45,0.56,0.38,0.73,0.6,0.6,0.53,0.64
nicepress.csv,0.63,0.85,0.9,0.71,0.53,0.42,0.56,0.9,0.99,0.59,0.55,0.63,0.88,0.75,0.79,0.64,0.67,0.58,0.64
omseek.csv,0.9,1.0,1.0,0.98,1.0,1.0,0.92,1.0,0.95,0.85,0.97,0.91,1.0,0.79,0.97,0.94,0.86,0.98,0.82
pi-qmc.csv,0.64,0.73,0.51,0.63,0.63,0.58,0.64,0.86,0.76,0.69,0.68,0.63,0.48,0.72,0.73,0.79,0.55,0.67,0.74
rosegarden.csv,0.33,0.56,0.47,0.63,0.51,0.6,0.55,0.73,0.79,0.79,0.82,0.48,0.47,0.54,0.52,0.72,0.46,0.7,0.63
sigil.csv,0.52,0.68,0.5,0.49,0.63,0.52,0.67,0.65,0.75,0.85,0.65,0.48,0.25,0.5,0.61,0.8,0.6,0.39,0.84
smarttag.csv,0.44,0.63,0.65,0.95,0.54,0.65,0.86,0.72,0.95,0.93,0.57,0.59,0.94,0.89,0.57,0.67,0.77,0.59,0.67
sylpheed-claws.csv,0.68,1.0,0.63,0.82,0.72,0.99,0.79,0.58,0.41,0.87,0.91,0.92,0.86,0.9,0.93,0.88,0.97,0.72,0.77
tango-cs.csv,0.77,0.81,0.65,0.89,0.8,0.89,0.67,0.64,0.77,0.74,0.59,0.69,0.61,0.77,0.73,0.68,0.6,0.69,0.61
xemeiah.csv,0.5,0.82,0.67,0.64,0.56,0.76,0.8,0.69,0.73,0.95,0.34,0.6,0.35,0.84,0.58,1.01,0.42,0.49,0.8
zscreen.csv,0.58,0.85,0.49,0.3,0.52,0.81,0.74,0.73,0.69,0.8,0.79,0.61,0.4,0.87,0.64,0.8,0.6,0.86,0.78
