,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.59,0.62,0.05,0.61,0.67,0.76,0.09,0.0,0.48,0.69,0.62,0.4,0.3,0.13,0.39,0.48,0.33,0.27,0.23
decidr.csv,0.51,0.7,0.64,0.52,0.54,0.17,0.74,0.0,0.17,0.42,0.69,0.63,0.54,0.21,0.54,0.46,0.17,0.43,0.53
doomlegacy.csv,0.38,0.59,0.05,0.71,0.17,0.33,0.09,0.54,0.68,0.0,0.17,0.09,0.0,0.13,0.53,0.33,0.0,0.56,0.05
elmo.csv,0.13,0.0,0.13,0.0,0.05,0.0,0.21,0.06,0.04,0.33,0.09,0.07,0.07,0.0,0.07,0.0,0.17,0.24,0.28
gpac.csv,0.72,0.0,0.38,0.17,0.39,0.0,0.0,0.62,0.52,0.0,0.0,0.21,0.0,0.0,0.3,0.0,0.0,0.0,0.58
illumination.csv,0.0,0.52,0.01,0.31,0.0,0.57,0.0,0.0,0.0,0.4,0.14,0.07,0.2,0.53,0.0,0.22,0.17,0.4,0.0
img-browse-sort.csv,0.71,0.24,0.4,0.61,0.55,0.51,0.52,0.25,0.19,0.44,0.63,0.52,0.72,0.59,0.29,0.49,0.21,0.65,0.56
ktc.csv,0.72,0.45,0.6,0.05,0.55,0.33,0.56,0.39,0.34,0.17,0.15,0.68,0.55,0.73,0.41,0.5,0.55,0.45,0.44
neoengine.csv,0.52,0.52,0.58,0.53,0.46,0.58,0.64,0.0,0.05,0.59,0.26,0.71,0.49,0.8,0.33,0.59,0.46,0.73,0.5
nicepress.csv,0.52,0.47,0.35,0.51,0.67,0.65,0.68,0.37,0.05,0.57,0.53,0.48,0.42,0.58,0.26,0.63,0.66,0.49,0.52
omseek.csv,0.12,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.06,0.24,0.04,0.11,0.0,0.27,0.02,0.07,0.17,0.02,0.24
pi-qmc.csv,0.46,0.54,0.68,0.57,0.45,0.53,0.45,0.45,0.59,0.46,0.44,0.65,0.6,0.6,0.54,0.54,0.5,0.4,0.44
rosegarden.csv,0.73,0.6,0.63,0.44,0.55,0.48,0.56,0.34,0.25,0.25,0.21,0.72,0.63,0.66,0.67,0.33,0.6,0.37,0.56
sigil.csv,0.75,0.44,0.58,0.58,0.66,0.64,0.63,0.43,0.29,0.47,0.63,0.7,0.85,0.63,0.46,0.37,0.46,0.73,0.48
smarttag.csv,0.74,0.45,0.42,0.11,0.64,0.41,0.17,0.4,0.06,0.09,0.53,0.54,0.07,0.18,0.63,0.45,0.27,0.59,0.57
sylpheed-claws.csv,0.66,0.0,0.65,0.51,0.61,0.05,0.55,0.6,0.71,0.42,0.33,0.3,0.45,0.37,0.29,0.4,0.17,0.63,0.57
tango-cs.csv,0.4,0.24,0.49,0.44,0.53,0.39,0.59,0.6,0.5,0.33,0.63,0.56,0.54,0.35,0.41,0.64,0.61,0.56,0.45
xemeiah.csv,0.61,0.24,0.65,0.42,0.64,0.61,0.54,0.62,0.61,0.21,0.75,0.47,0.74,0.49,0.56,0.0,0.69,0.59,0.53
zscreen.csv,0.71,0.23,0.65,0.83,0.67,0.53,0.6,0.33,0.36,0.53,0.54,0.7,0.81,0.44,0.63,0.51,0.53,0.44,0.53
