,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.3,0.28,0.44,0.25,0.3,0.29,0.34,0.32,0.37,0.26,0.28,0.37,0.42,0.29,0.28,0.28,0.4,0.35,0.31
decidr.csv,0.21,0.18,0.25,0.3,0.32,0.4,0.23,0.32,0.42,0.36,0.37,0.31,0.38,0.27,0.25,0.29,0.41,0.33,0.25
doomlegacy.csv,0.33,0.18,0.44,0.34,0.4,0.41,0.35,0.28,0.29,0.4,0.43,0.42,0.44,0.29,0.32,0.32,0.41,0.35,0.34
elmo.csv,0.33,0.49,0.43,0.36,0.38,0.42,0.3,0.32,0.42,0.25,0.39,0.4,0.4,0.29,0.35,0.33,0.37,0.24,0.21
gpac.csv,0.25,0.5,0.41,0.37,0.39,0.42,0.35,0.31,0.38,0.4,0.44,0.42,0.44,0.29,0.36,0.34,0.41,0.36,0.33
illumination.csv,0.36,0.49,0.44,0.23,0.4,0.24,0.35,0.32,0.44,0.21,0.36,0.4,0.4,0.25,0.36,0.32,0.41,0.29,0.35
img-browse-sort.csv,0.2,0.1,0.16,0.23,0.16,0.21,0.32,0.17,0.36,0.23,0.22,0.15,0.22,0.18,0.15,0.21,0.09,0.24,0.24
ktc.csv,0.16,0.11,0.15,0.32,0.13,0.1,0.19,0.17,0.12,0.13,0.33,0.17,0.13,0.24,0.16,0.16,0.13,0.17,0.16
neoengine.csv,0.2,0.35,0.17,0.21,0.21,0.26,0.22,0.32,0.43,0.32,0.15,0.22,0.15,0.22,0.19,0.23,0.12,0.29,0.2
nicepress.csv,0.21,0.46,0.4,0.23,0.24,0.19,0.24,0.28,0.43,0.21,0.15,0.2,0.38,0.25,0.15,0.27,0.36,0.21,0.23
omseek.csv,0.32,0.49,0.44,0.36,0.4,0.4,0.29,0.32,0.42,0.15,0.43,0.41,0.44,0.24,0.35,0.28,0.23,0.35,0.16
pi-qmc.csv,0.2,0.24,0.19,0.22,0.18,0.16,0.18,0.25,0.33,0.17,0.17,0.23,0.17,0.22,0.22,0.24,0.1,0.16,0.22
rosegarden.csv,0.17,0.17,0.17,0.16,0.13,0.15,0.19,0.17,0.12,0.11,0.21,0.23,0.2,0.2,0.2,0.13,0.12,0.17,0.18
sigil.csv,0.25,0.14,0.16,0.23,0.29,0.23,0.28,0.2,0.13,0.36,0.32,0.23,0.27,0.2,0.19,0.22,0.13,0.25,0.32
smarttag.csv,0.21,0.11,0.14,0.14,0.2,0.12,0.25,0.17,0.39,0.34,0.15,0.17,0.36,0.16,0.23,0.18,0.21,0.2,0.23
sylpheed-claws.csv,0.28,0.5,0.26,0.33,0.32,0.42,0.3,0.21,0.21,0.34,0.43,0.4,0.42,0.25,0.29,0.3,0.4,0.31,0.25
tango-cs.csv,0.29,0.39,0.26,0.37,0.37,0.4,0.31,0.29,0.37,0.15,0.27,0.32,0.25,0.25,0.25,0.3,0.29,0.24,0.21
xemeiah.csv,0.19,0.1,0.28,0.16,0.25,0.35,0.31,0.23,0.32,0.36,0.27,0.13,0.22,0.27,0.2,0.26,0.18,0.23,0.31
zscreen.csv,0.27,0.14,0.23,0.29,0.27,0.39,0.34,0.2,0.17,0.36,0.38,0.32,0.31,0.27,0.28,0.28,0.26,0.33,0.28
