,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.76,0.67,0.99,0.44,0.66,0.55,0.98,1.0,0.84,0.54,0.63,0.88,0.92,0.97,0.88,0.83,0.91,0.93,0.94
decidr.csv,0.31,0.54,0.58,0.78,0.73,0.96,0.3,1.0,0.96,0.87,0.62,0.67,0.81,0.95,0.69,0.83,0.96,0.86,0.57
doomlegacy.csv,0.89,0.43,0.99,0.59,0.96,0.91,0.98,0.77,0.63,1.0,0.96,0.98,1.0,0.97,0.81,0.91,1.0,0.79,0.99
elmo.csv,0.06,0.01,0.04,0.04,0.08,0.01,0.13,0.02,0.05,0.23,0.09,0.07,0.11,0.05,0.04,0.08,0.05,0.0,0.29
gpac.csv,0.45,1.0,0.89,0.96,0.88,1.0,1.0,0.68,0.81,1.0,1.0,0.95,1.0,1.0,0.92,1.0,1.0,1.0,0.71
illumination.csv,0.0,0.78,0.0,0.41,0.0,0.36,0.0,0.0,0.0,0.33,0.13,0.05,0.95,0.76,0.0,0.0,0.96,0.64,0.0
img-browse-sort.csv,0.29,0.13,0.16,0.19,0.12,0.26,0.77,0.13,0.01,0.51,0.21,0.19,0.14,0.11,0.08,0.42,0.07,0.21,0.57
ktc.csv,0.14,0.19,0.13,0.04,0.09,0.07,0.31,0.17,0.09,0.18,0.05,0.29,0.14,0.53,0.15,0.29,0.07,0.21,0.22
neoengine.csv,0.23,0.66,0.15,0.07,0.24,0.42,0.25,1.0,0.99,0.74,0.12,0.36,0.05,0.34,0.15,0.43,0.07,0.5,0.36
nicepress.csv,0.39,0.85,0.9,0.52,0.44,0.16,0.49,0.89,0.99,0.41,0.22,0.31,0.86,0.74,0.15,0.57,0.66,0.14,0.42
omseek.csv,0.02,0.01,0.0,0.0,0.0,0.03,0.07,0.0,0.01,0.33,0.0,0.01,0.0,0.16,0.0,0.08,0.02,0.0,0.19
pi-qmc.csv,0.27,0.61,0.41,0.48,0.18,0.29,0.25,0.85,0.76,0.38,0.32,0.58,0.19,0.68,0.62,0.75,0.05,0.14,0.46
rosegarden.csv,0.15,0.39,0.24,0.15,0.07,0.23,0.29,0.21,0.07,0.1,0.05,0.41,0.24,0.45,0.42,0.15,0.07,0.14,0.45
sigil.csv,0.51,0.31,0.17,0.19,0.6,0.38,0.63,0.17,0.07,0.85,0.59,0.4,0.22,0.32,0.19,0.48,0.12,0.29,0.78
smarttag.csv,0.38,0.19,0.2,0.26,0.41,0.12,0.09,0.32,0.05,0.05,0.26,0.34,0.03,0.26,0.46,0.32,0.0,0.43,0.54
sylpheed-claws.csv,0.66,1.0,0.59,0.81,0.7,0.99,0.78,0.43,0.27,0.87,0.91,0.92,0.86,0.89,0.92,0.88,0.96,0.71,0.75
tango-cs.csv,0.44,0.1,0.38,0.81,0.78,0.88,0.58,0.53,0.61,0.18,0.47,0.57,0.38,0.34,0.38,0.66,0.48,0.57,0.13
xemeiah.csv,0.29,0.16,0.65,0.11,0.45,0.75,0.79,0.66,0.71,0.95,0.23,0.16,0.22,0.84,0.35,0.11,0.27,0.21,0.8
zscreen.csv,0.56,0.28,0.35,0.26,0.42,0.81,0.73,0.15,0.1,0.77,0.77,0.59,0.38,0.84,0.58,0.72,0.34,0.86,0.71
