,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,1.0,0.78,0.58,0.85,0.43,0.53,0.56,0.6,0.83,1.0,0.68,0.83,0.33,0.59,0.56,0.69,0.42
encog-cs.csv,1.0,0.63,0.68,0.8,0.79,0.93,0.87,0.87,0.7,0.32,1.0,0.64,1.0,0.83,0.86,0.78,0.84
extprosys.csv,1.0,0.82,0.51,0.85,0.89,0.7,0.41,0.68,0.27,0.86,0.79,0.37,0.33,0.89,0.97,0.66,0.37
ibatisdb.csv,0.0,0.33,0.32,0.19,0.36,0.23,0.15,0.24,0.42,0.36,0.55,0.19,0.33,0.09,0.81,0.09,0.42
intact.csv,1.0,0.78,0.49,0.6,0.79,0.6,0.28,0.39,0.82,1.0,0.89,0.52,0.67,0.87,0.64,0.53,0.32
japano.csv,0.0,0.96,0.85,0.89,0.89,0.87,0.95,0.73,0.92,0.77,0.79,0.65,1.0,0.85,0.72,0.81,0.74
lockss.csv,1.0,0.37,0.51,0.15,0.36,0.13,0.28,0.46,0.24,0.55,0.68,0.32,0.67,0.43,0.36,0.38,0.32
ofbiz.csv,0.0,0.84,0.94,0.65,0.39,0.63,0.51,0.45,0.62,0.32,0.87,0.67,0.67,0.74,0.42,0.56,0.79
officefloor.csv,1.0,0.22,0.3,0.5,0.25,0.3,0.03,0.45,0.42,0.23,0.66,0.56,0.0,0.23,0.53,0.28,0.47
opennms.csv,1.0,0.41,0.02,0.07,0.61,0.07,0.54,0.06,0.27,0.41,0.21,0.07,0.33,0.47,0.08,0.09,0.0
papertoolkit.csv,0.0,0.18,0.15,0.24,0.21,0.2,0.15,0.22,0.32,0.23,0.45,0.24,1.0,0.28,0.11,0.47,0.21
rohxel.csv,1.0,0.53,0.58,0.26,0.11,0.3,0.67,0.52,0.56,0.36,0.39,0.47,0.0,0.24,0.75,0.22,0.05
sevenupdate.csv,1.0,0.8,1.0,1.0,0.86,1.0,0.97,1.0,0.95,0.64,1.0,0.95,1.0,0.92,1.0,0.97,1.0
web-cat.csv,1.0,0.63,0.89,0.73,0.82,0.7,0.92,0.76,0.91,0.73,0.89,0.96,1.0,0.9,0.86,0.88,0.74
xcf.csv,0.0,0.43,0.58,0.8,0.57,0.5,0.72,0.57,0.65,0.45,0.84,0.64,0.33,0.52,0.94,0.81,0.89
