,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.71,0.47,0.46,0.07,0.39,0.23,0.18,0.33
anaxagora.csv,0.59,0.58,0.72,0.53,0.46,0.58,0.8,0.37
botsnscouts.csv,0.71,0.44,0.69,0.73,0.34,0.73,0.79,0.36
emisview.csv,0.67,0.53,0.52,0.28,0.39,0.51,0.16,0.28
matrex.csv,0.08,0.16,0.67,0.54,0.12,0.83,0.33,0.19
mediaportal.csv,0.29,0.27,0.36,0.46,0.26,0.31,0.23,0.41
mediate.csv,0.7,0.32,0.68,0.5,0.22,0.49,0.33,0.33
ontopia.csv,0.48,0.42,0.45,0.35,0.26,0.46,0.82,0.33
