,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,84.0,0.0,0.0,1.0,367.0,124.0,0.0,1.0,76.0
coot.csv,0.0,4.0,0.0,0.0,17.0,4.0,10.0,1.0,322.0,1.0
haggle.csv,0.0,3.0,0.0,64.0,3.0,0.0,9.0,0.0,6.0,7.0
ibatisdb.csv,0.0,0.0,2.0,64.0,1.0,0.0,124.0,0.0,7.0,0.0
jas.csv,9.0,0.0,1.0,6.0,6.0,1.0,4.0,0.0,2.0,2.0
mesa3d.csv,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0
ngl.csv,4.0,2.0,0.0,13.0,39.0,1.0,34.0,1.0,4.0,1.0
pustefix.csv,0.0,3.0,1.0,21.0,15.0,0.0,3.0,0.0,2.0,3.0
scenemonitor.csv,0.0,5.0,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0
wsmt.csv,9.0,0.0,0.0,5.0,27.0,0.0,51.0,0.0,5.0,3.0
