,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.1,0.0,0.07,1.0,0.06,0.0,0.0,0.23,0.06,0.0
coot.csv,0.7,0.22,0.39,0.33,0.47,0.46,0.38,0.71,0.0,0.75
haggle.csv,0.15,0.65,0.62,0.0,0.33,0.04,0.12,0.4,0.07,0.52
ibatisdb.csv,0.15,0.61,0.15,0.0,0.81,0.28,0.0,0.23,0.55,0.5
jas.csv,0.15,0.43,0.43,0.67,0.14,0.68,0.88,0.83,0.88,0.48
mesa3d.csv,0.15,0.57,0.49,1.0,0.19,0.59,0.12,0.29,0.51,0.72
ngl.csv,0.85,1.0,0.96,0.67,0.44,0.64,0.75,1.0,0.26,0.88
pustefix.csv,0.15,0.57,0.3,0.33,0.08,0.31,0.62,0.4,0.75,0.32
scenemonitor.csv,0.8,0.17,0.26,0.33,0.17,0.44,0.75,0.17,0.14,0.18
wsmt.csv,0.55,0.13,0.09,0.33,0.19,0.21,0.38,0.77,0.03,0.08
