,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.67,0.0,1.0,0.6,0.5,0.0,0.0,0.62,0.44,0.0
coot.csv,0.37,0.16,0.64,0.2,0.21,0.64,0.03,0.52,0.0,0.68
haggle.csv,0.75,0.38,0.73,0.0,0.23,0.42,0.05,0.42,0.23,0.57
ibatisdb.csv,0.75,0.28,0.69,0.0,0.62,0.63,0.0,0.47,0.25,0.62
jas.csv,0.21,0.37,0.74,0.11,0.16,0.63,0.26,0.66,0.22,0.43
mesa3d.csv,0.6,0.43,0.71,0.16,0.21,0.62,0.09,0.4,0.32,0.55
ngl.csv,0.41,0.3,0.66,0.08,0.15,0.7,0.08,0.56,0.26,0.62
pustefix.csv,0.75,0.43,0.65,0.04,0.14,0.52,0.05,0.58,0.26,0.43
scenemonitor.csv,0.76,0.27,0.59,0.11,0.26,0.64,0.08,0.33,0.38,0.39
wsmt.csv,0.39,0.23,0.58,0.14,0.12,0.76,0.05,0.84,0.2,0.43
