,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.57,0.83,0.29,0.67,0.0,0.36,0.6,0.17,0.17,0.33,0.0,0.05,0.27
empserver.csv,0.86,0.63,0.79,0.52,1.0,0.93,1.0,0.83,0.5,0.64,0.86,0.84,0.93
emulemorph.csv,0.05,0.0,0.07,0.05,0.0,0.06,0.0,0.67,0.0,0.08,0.0,0.0,0.1
google-web-toolkit.csv,0.83,0.22,0.5,0.19,0.0,0.39,0.4,0.67,0.57,0.17,1.0,0.87,0.65
htmlunit.csv,0.5,0.98,0.71,0.48,0.0,0.55,0.6,0.5,0.4,0.64,0.57,0.45,0.45
jaxen.csv,0.69,0.82,0.79,0.57,1.0,0.63,1.0,0.67,0.87,0.81,0.86,0.71,0.78
jguard.csv,0.83,1.0,0.79,0.9,1.0,0.95,1.0,0.33,0.67,1.0,0.86,0.68,0.63
kowari.csv,0.26,0.0,0.43,0.14,0.0,0.61,0.4,0.67,0.8,0.17,0.86,0.11,0.35
maidsafe-dht.csv,0.17,0.46,0.71,0.19,0.0,0.41,0.4,0.33,0.47,0.69,0.43,0.53,0.36
mimosa.csv,0.76,1.0,0.86,0.88,1.0,0.95,1.0,0.83,0.6,0.97,0.71,0.84,0.73
vdsf.csv,0.83,0.37,0.79,0.69,0.0,0.77,0.2,0.5,0.93,0.94,0.43,0.71,0.66
xbrlapi.csv,0.69,0.0,0.07,0.26,0.0,0.47,0.4,0.83,0.7,0.0,0.29,0.55,0.36
