,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.65,0.91,0.42,0.29,0.14,0.47,0.23,0.29,0.09,0.33,0.1,0.07,0.22
empserver.csv,0.8,0.32,0.78,0.38,0.98,0.97,1.0,0.71,0.48,0.3,0.9,0.81,0.88
emulemorph.csv,0.0,0.0,0.03,0.08,0.0,0.0,0.01,0.24,0.0,0.24,0.0,0.0,0.09
google-web-toolkit.csv,0.92,0.14,0.28,0.18,0.95,0.28,0.33,0.46,0.54,0.15,0.99,0.74,0.37
htmlunit.csv,0.65,0.99,0.32,0.36,0.14,0.23,0.11,0.42,0.36,0.55,0.22,0.31,0.4
jaxen.csv,0.72,0.41,0.68,0.75,0.32,0.46,0.11,0.84,0.89,0.94,0.77,0.9,0.68
jguard.csv,0.78,1.0,0.93,0.96,0.9,0.96,0.95,0.67,0.3,1.0,0.65,0.31,0.61
kowari.csv,0.2,0.0,0.35,0.15,0.03,0.47,0.28,0.6,0.84,0.33,0.29,0.07,0.48
maidsafe-dht.csv,0.2,0.15,0.3,0.26,0.08,0.16,0.29,0.42,0.57,0.64,0.5,0.71,0.33
mimosa.csv,0.65,1.0,0.75,0.82,0.83,0.84,0.87,0.83,0.39,0.94,0.36,0.21,0.81
vdsf.csv,0.68,0.13,0.85,0.73,0.94,0.97,0.85,0.7,0.96,1.0,0.96,0.93,0.76
xbrlapi.csv,0.4,0.0,0.2,0.15,0.72,0.47,0.27,0.46,0.71,0.0,0.73,0.29,0.33
