,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.0,0.88,0.5,0.99,0.9,0.51,0.59
bwapi.csv,0.91,0.57,0.43,0.34,0.5,0.39,0.35
gisgraphy.csv,0.62,0.6,0.49,0.89,0.69,0.52,0.73
lite.csv,0.5,0.0,0.61,0.71,0.95,0.62,0.86
ontopia.csv,0.75,0.5,0.36,0.56,0.55,0.89,0.86
smartgwt.csv,0.89,0.96,0.6,0.58,0.87,0.61,0.88
