,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.0,0.71,0.5,0.23,0.93,0.31,0.5
bwapi.csv,0.09,1.0,0.84,0.42,0.17,0.33,0.25
gisgraphy.csv,0.0,0.81,0.91,0.49,0.17,0.21,1.0
lite.csv,0.0,0.0,0.78,0.85,0.11,0.94,0.57
ontopia.csv,0.0,0.76,0.99,0.24,0.21,0.33,0.14
smartgwt.csv,0.11,0.96,0.76,0.99,0.17,0.44,0.25
