,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.11,0.55,0.25,0.1,0.0,0.15,0.07,0.24,0.85,0.1
ibatisdb.csv,0.41,0.2,0.25,0.0,0.0,0.19,0.07,0.12,0.27,1.0
jmol.csv,0.3,0.56,0.55,0.33,0.36,0.99,0.48,0.52,0.74,0.75
liferea.csv,0.4,0.37,0.58,1.0,0.0,0.64,0.53,0.54,0.5,0.35
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.93,0.2,0.25,0.0,0.0,0.01,0.04,0.0,0.0,0.0
psrchive.csv,0.11,0.2,1.0,0.1,0.0,0.12,0.17,0.17,0.16,0.1
re2c.csv,0.31,1.0,0.72,0.0,0.63,0.39,0.45,0.34,0.4,0.66
tycho.csv,0.11,0.7,0.4,0.26,0.0,0.43,1.0,0.33,0.57,0.54
xfce.csv,0.52,0.46,0.7,0.57,0.61,0.53,0.26,0.96,0.58,0.55
