,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.13,0.5,0.25,0.14,0.0,0.21,0.11,0.32,0.83,0.11
ibatisdb.csv,0.4,0.1,0.21,0.0,0.0,0.27,0.09,0.18,0.21,1.0
jmol.csv,0.16,0.2,0.26,0.39,0.03,1.0,0.51,0.6,0.41,0.52
liferea.csv,0.26,0.18,0.27,0.96,0.0,0.75,0.56,0.63,0.31,0.29
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.95,0.29,0.24,0.0,0.0,0.02,0.06,0.0,0.0,0.0
psrchive.csv,0.11,0.2,1.0,0.1,0.0,0.18,0.24,0.24,0.19,0.09
re2c.csv,0.19,1.0,0.35,0.0,0.06,0.49,0.6,0.43,0.25,0.44
tycho.csv,0.07,0.42,0.25,0.31,0.0,0.54,1.0,0.72,0.44,0.39
xfce.csv,0.25,0.16,0.34,0.41,0.06,0.76,0.61,0.97,0.31,0.38
