,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.24,0.13,0.97,0.15,0.3,0.0
exl.csv,0.37,0.31,0.45,0.85,0.23,1.0
opennms.csv,0.94,0.14,0.21,0.41,0.0,0.38
phet.csv,0.47,0.96,0.34,0.81,0.0,0.54
runuomondains.csv,0.0,0.14,0.47,0.0,1.0,0.5
