,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.55,0.95,0.0,0.42,0.0,0.71,0.56,0.67,0.64,0.33,0.42,0.55,0.7,0.47,0.31,0.36,0.95,0.85
brlcad.csv,0.32,0.6,0.71,0.7,0.89,0.93,0.53,0.9,0.97,0.95,0.9,0.92,0.8,0.96,0.53,0.57,0.83,0.85
genoviz.csv,0.91,0.99,0.0,0.92,0.0,0.9,0.86,0.75,0.73,0.69,0.77,0.91,0.75,0.83,0.75,0.83,0.93,0.88
gnupdate.csv,0.38,0.59,0.72,0.46,0.65,0.65,0.76,0.56,0.5,0.53,0.71,0.63,0.76,0.63,0.45,0.5,0.79,0.46
google-gears.csv,0.5,0.41,0.56,0.44,0.45,0.45,0.41,0.42,0.42,0.36,0.33,0.43,0.37,0.46,0.34,0.39,0.51,0.36
konversation.csv,0.42,0.81,0.79,0.54,0.55,0.76,0.71,0.49,0.57,0.68,0.79,0.5,0.95,0.61,0.56,0.47,0.85,0.45
linux-ntfs.csv,0.43,0.47,0.55,0.62,0.91,0.44,0.39,0.62,0.45,0.41,0.37,0.49,0.39,0.49,0.38,0.56,0.48,0.34
linuxsh.csv,0.34,0.93,0.7,0.7,0.67,0.8,0.68,0.67,0.83,0.57,0.88,0.8,0.88,0.95,0.69,0.62,0.94,0.91
modplug.csv,0.33,0.47,0.45,0.43,0.49,0.48,0.47,0.41,0.45,0.39,0.45,0.49,0.53,0.47,0.4,0.4,0.63,0.34
nativeclient.csv,0.39,0.45,0.47,0.4,0.52,0.45,0.44,0.41,0.44,0.35,0.41,0.47,0.54,0.44,0.37,0.4,0.55,0.35
ogre.csv,0.83,0.75,0.69,0.46,0.92,0.45,0.55,0.63,0.54,0.5,0.61,0.55,0.54,0.5,0.54,0.5,0.52,0.61
openfrag.csv,0.32,0.44,0.43,0.42,0.52,0.79,0.4,0.62,0.52,0.42,0.44,0.52,0.62,0.54,0.4,0.41,0.63,0.38
projecteqemu.csv,0.36,0.46,0.43,0.72,0.45,0.95,0.54,0.42,0.45,0.48,0.45,0.93,0.88,0.68,0.43,0.67,0.59,0.32
qse.csv,0.33,0.87,0.71,0.47,0.8,0.85,0.67,0.5,0.44,0.4,0.43,0.53,0.55,0.52,0.38,0.5,0.75,0.37
sandiaportals.csv,0.33,0.53,0.47,0.41,0.57,0.8,0.47,0.41,0.46,0.42,0.53,0.57,0.9,0.55,0.38,0.44,0.65,0.34
sauerbraten.csv,0.35,0.45,0.44,0.48,0.47,0.43,0.4,0.43,0.46,0.36,0.42,0.45,0.4,0.46,0.4,0.39,0.5,0.41
turbotrader-bos.csv,0.33,0.68,0.86,0.72,0.86,0.91,0.69,0.58,0.47,0.47,0.61,0.59,0.68,0.78,0.42,0.5,0.96,0.39
xapian.csv,0.61,0.66,0.65,0.6,0.92,0.63,0.45,0.57,0.53,0.41,0.44,0.52,0.73,0.5,0.44,0.64,0.56,0.39
