,zorannt.csv,dvt.csv,bloodycore.csv,dvd-create.csv,gbif-indexingtoolkit.csv,aime.csv,planeshift.csv,mumble.csv,truevision.csv
aime.csv,0.13,0.24,0.18,0.59,0.21,0.88,0.3,0.0,0.19
bloodycore.csv,0.21,0.23,0.94,0.57,0.26,0.27,0.6,0.1,0.28
dvd-create.csv,0.29,0.51,0.22,0.99,0.31,0.28,0.69,0.49,0.57
dvt.csv,0.2,0.99,0.13,0.54,0.2,0.33,0.26,0.1,0.33
gbif-indexingtoolkit.csv,0.19,0.07,0.06,0.4,1.0,0.0,0.18,0.0,0.12
mumble.csv,0.33,0.25,0.27,0.46,0.38,0.19,0.4,1.0,0.25
planeshift.csv,0.32,0.45,0.28,0.83,0.11,0.3,1.0,0.54,0.54
truevision.csv,0.29,0.38,0.21,0.34,0.34,0.31,0.64,0.36,0.97
zorannt.csv,1.0,0.41,0.24,0.73,0.3,0.22,0.74,0.45,0.42
