,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.3,0.55,0.13,0.13,0.58,0.3,0.74,0.37,0.68,0.62,0.38
gdis.csv,0.59,0.72,0.19,0.18,0.53,0.2,0.68,0.3,0.91,0.24,0.22
genoviz.csv,0.16,0.29,0.05,0.08,0.46,0.22,0.11,0.21,0.16,0.38,0.67
kml.csv,0.71,0.64,0.14,0.13,0.5,0.24,0.77,0.39,0.74,0.22,0.18
omseek.csv,0.16,0.2,0.0,0.18,0.48,0.42,0.11,0.0,0.35,0.29,0.5
ossbuild.csv,0.73,0.76,0.52,0.15,0.56,0.28,0.14,0.44,0.47,0.21,0.22
popeye-chess.csv,0.64,0.67,0.09,0.14,0.54,0.3,0.46,0.38,0.66,0.19,0.25
quarkplayer.csv,0.29,0.5,0.17,0.22,0.35,0.1,0.39,0.1,0.36,0.15,0.0
turbotrader-bos.csv,0.48,0.66,0.13,0.13,0.63,0.27,0.71,0.41,0.7,0.27,0.18
virtuoso.csv,0.74,0.52,0.13,0.12,0.49,0.21,0.65,0.48,0.9,0.25,0.21
zscreen.csv,0.85,0.58,0.46,0.13,0.48,0.25,0.15,0.33,0.46,0.29,0.29
