,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.83,0.58,0.87,0.71,0.46,0.63,0.35,0.71,0.48,0.22,0.36
gdis.csv,0.56,0.55,0.77,0.59,0.69,0.7,0.47,0.74,0.21,0.67,0.65
genoviz.csv,0.91,0.83,0.97,0.91,0.64,0.85,0.94,0.88,0.92,0.49,0.11
kml.csv,0.48,0.89,1.07,0.92,0.94,0.78,0.31,0.92,0.45,0.89,1.0
omseek.csv,0.91,0.89,1.0,0.82,0.59,0.38,0.94,1.0,0.79,0.6,0.25
ossbuild.csv,0.41,0.44,0.32,0.6,0.49,0.51,0.92,0.61,0.7,0.77,0.63
popeye-chess.csv,0.55,0.42,0.9,0.66,0.51,0.56,0.69,0.63,0.51,0.78,0.54
quarkplayer.csv,0.85,0.8,0.77,0.44,0.76,0.88,0.83,0.93,0.79,0.85,1.02
turbotrader-bos.csv,0.67,0.45,0.83,0.75,0.4,0.66,0.39,0.61,0.46,0.63,0.7
virtuoso.csv,1.0,0.59,0.88,0.92,0.77,0.94,0.97,0.54,1.0,0.7,0.82
zscreen.csv,0.25,0.53,0.39,0.94,0.69,0.57,0.92,0.74,0.72,0.58,0.53
