,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.0,0.11,0.57,0.3,0.21,0.16,0.21,0.66,0.08,0.14,0.36
gdis.csv,0.15,0.55,0.63,0.58,0.66,0.62,0.38,0.54,0.15,0.34,0.24
genoviz.csv,0.0,0.0,0.03,0.08,0.11,0.03,0.0,0.01,0.08,0.25,0.11
kml.csv,0.33,0.89,0.99,0.92,0.94,0.78,0.18,0.92,0.23,0.86,1.0
omseek.csv,0.0,0.05,0.02,0.06,0.2,0.19,0.0,0.0,0.0,0.32,0.16
ossbuild.csv,0.22,0.43,0.15,0.48,0.35,0.41,0.08,0.14,0.15,0.18,0.6
popeye-chess.csv,0.33,0.25,0.32,0.37,0.34,0.22,0.03,0.26,0.15,0.23,0.36
quarkplayer.csv,0.26,0.7,0.4,0.34,0.49,0.49,0.56,0.23,0.15,0.17,0.18
turbotrader-bos.csv,0.04,0.14,0.36,0.2,0.24,0.16,0.21,0.54,0.08,0.38,0.58
virtuoso.csv,1.0,0.3,0.12,0.91,0.75,0.94,0.97,0.15,1.0,0.62,0.82
zscreen.csv,0.15,0.27,0.18,0.94,0.63,0.44,0.05,0.09,0.23,0.41,0.53
