,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.95,0.86,0.47,0.58,0.5,0.69,0.55,0.62,0.9,0.69,0.78,0.83
bscwweasel.csv,0.97,0.93,0.45,0.41,0.57,0.56,0.84,0.66,0.69,0.72,0.44,0.78
capcode.csv,0.97,0.82,0.85,0.72,0.62,0.3,0.73,0.74,0.85,0.63,0.59,0.87
emite.csv,0.54,0.82,0.7,0.9,0.78,0.99,0.89,0.95,0.91,0.87,1.0,0.51
lamp.csv,0.79,0.43,0.72,0.67,0.97,0.83,0.95,0.52,0.62,0.54,0.98,0.82
mecat.csv,0.66,0.93,0.98,0.95,0.82,0.8,0.99,0.77,1.0,0.61,0.1,1.0
nodal.csv,0.99,0.47,0.53,0.66,0.84,0.65,0.89,0.65,0.49,0.58,0.59,0.75
pydev.csv,1.0,0.55,0.8,0.83,0.73,0.93,0.82,0.78,0.69,0.48,0.85,0.84
retromenu.csv,0.72,0.55,0.53,0.69,0.3,0.75,0.75,0.81,0.65,0.84,1.05,0.6
smbopensoft.csv,0.27,0.98,0.94,0.66,0.91,0.62,0.64,0.73,0.81,0.87,0.81,0.84
stuproa-cims.csv,0.98,0.8,0.88,0.66,0.57,0.69,0.98,0.45,0.74,0.8,0.56,0.63
thout.csv,0.64,1.0,0.51,0.76,0.79,0.89,0.87,0.94,0.97,0.88,0.98,0.96
