,jmoney.csv,columba.csv,jmule.csv,unbvision.csv,nativeclient.csv,glelite.csv,magicwars.csv,pentahoanalysistool.csv,xmemcached.csv
columba.csv,0.68,0.67,0.64,0.34,0.41,0.23,0.32,0.58,0.57
glelite.csv,0.27,0.21,0.54,0.24,0.05,0.97,0.66,0.45,0.61
jmoney.csv,0.85,0.56,0.65,0.57,0.48,0.35,0.49,0.59,0.74
jmule.csv,0.7,0.65,0.83,0.57,0.49,0.45,0.63,0.65,0.7
magicwars.csv,0.21,0.17,0.27,0.0,0.0,0.0,0.67,0.51,0.48
nativeclient.csv,0.72,0.45,0.69,0.47,0.66,0.58,0.26,0.62,0.57
pentahoanalysistool.csv,0.66,0.58,0.29,0.2,0.34,0.0,0.36,0.8,0.25
unbvision.csv,0.69,0.45,0.25,0.77,0.55,0.76,0.53,0.42,0.67
xmemcached.csv,0.56,0.13,0.13,0.39,0.52,0.0,0.57,0.56,0.71
