,jmoney.csv,columba.csv,jmule.csv,unbvision.csv,nativeclient.csv,glelite.csv,magicwars.csv,pentahoanalysistool.csv,xmemcached.csv
columba.csv,0.65,0.65,0.83,0.3,0.37,0.19,0.86,0.59,0.7
glelite.csv,0.95,0.94,0.88,1.0,0.97,0.96,0.7,0.89,0.78
jmoney.csv,0.85,0.52,0.71,0.6,0.44,0.3,0.45,0.59,0.87
jmule.csv,0.8,0.65,0.83,0.7,0.46,0.49,0.65,0.74,0.78
magicwars.csv,0.95,0.99,1.0,1.0,1.0,1.0,0.63,1.0,0.78
nativeclient.csv,0.75,0.42,0.71,0.77,0.65,0.53,0.22,0.67,0.52
pentahoanalysistool.csv,0.8,0.66,0.25,0.17,0.31,0.68,0.31,0.85,0.22
unbvision.csv,0.7,0.41,0.21,0.8,0.68,0.72,0.5,0.37,0.7
xmemcached.csv,0.9,0.95,1.0,0.87,0.59,0.77,0.68,0.81,0.7
