,jmoney.csv,columba.csv,jmule.csv,unbvision.csv,nativeclient.csv,glelite.csv,magicwars.csv,pentahoanalysistool.csv,xmemcached.csv
columba.csv,0.65,0.54,0.51,0.39,0.69,1.0,0.31,0.36,0.27
glelite.csv,0.33,0.29,0.48,0.27,0.59,1.0,0.42,0.32,0.3
jmoney.csv,0.71,0.49,0.53,0.3,0.68,1.0,0.54,0.4,0.37
jmule.csv,0.42,0.44,0.8,0.27,0.67,0.97,0.42,0.38,0.36
magicwars.csv,0.33,0.3,0.47,0.26,0.59,0.98,0.78,0.36,0.26
nativeclient.csv,0.48,0.3,0.61,0.25,0.76,1.0,0.69,0.37,0.63
pentahoanalysistool.csv,0.39,0.31,0.43,0.25,0.52,0.97,0.51,0.52,0.19
unbvision.csv,0.5,0.38,0.5,0.47,0.59,1.0,0.46,0.48,0.36
xmemcached.csv,0.36,0.29,0.46,0.26,0.57,0.97,0.33,0.33,0.53
