,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.15,0.16,0.16,0.5,0.59,0.48,0.29,0.54,0.02,0.47,0.52,0.52,0.2
aubit4gl.csv,0.03,0.34,0.14,0.08,0.23,0.09,0.35,0.2,0.11,0.29,0.13,0.6,0.0
bionote.csv,0.14,0.14,0.14,0.12,0.13,0.07,0.1,0.15,0.21,0.16,0.19,0.05,0.16
liferea.csv,0.63,0.55,0.63,0.42,0.53,0.25,0.67,0.31,0.36,0.55,0.1,0.14,0.37
opensim4opencog.csv,0.34,0.32,0.63,0.42,0.44,0.34,0.73,0.26,0.15,0.68,0.35,0.23,0.21
pclasses.csv,0.23,0.2,0.04,0.42,0.05,0.07,0.08,0.38,0.04,0.18,0.12,0.63,0.02
plearn.csv,0.28,0.25,0.65,0.21,0.39,0.2,0.08,0.35,0.11,0.55,0.25,0.96,0.03
psrchive.csv,0.38,0.23,0.12,0.15,0.24,0.68,0.77,0.53,0.09,0.5,0.25,0.37,0.0
re2c.csv,0.25,0.18,0.02,0.52,0.53,0.48,0.29,0.58,0.02,0.39,0.63,0.48,0.15
rebecca-aiml.csv,0.28,0.07,0.43,0.48,0.51,0.5,0.65,0.41,0.06,0.63,0.96,0.12,0.41
thrust.csv,0.02,0.05,0.18,0.12,0.13,0.34,0.29,0.42,0.19,0.29,0.6,0.58,0.58
tzod.csv,0.37,0.48,0.49,0.33,0.44,0.5,0.6,0.41,0.19,0.42,0.37,0.61,0.54
yaprm.csv,0.38,0.3,0.53,0.1,0.19,0.02,0.38,0.15,0.45,0.34,0.65,0.1,0.24
